"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","alive","generation","volume","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
5.1284780980399,262,0,0,0,0,0,0,1,"1",2.72820517376378,96.0338329827848,0,0,0,0,0,0
5.15370274921538,263,0,0,0,0,0,0,1,"1",2.73032604300183,96.3254922151523,0,0,0,0,0,0
5.15811244115602,264,0,0,0,0,0,0,1,"1",2.73069697577346,96.6786144131656,0,0,0,0,0,0
5.33816788663928,265,0,0,0,0,0,0,1,"1",2.74588592604974,96.5080149491976,0,0,0,0,0,0
5.49985892143921,266,0,0,0,0,0,0,1,"1",2.759597694308,96.3908618088268,0,0,0,0,0,0
5.61338765890921,267,0,0,0,0,0,0,1,"1",2.76926608524652,96.4154370800491,0,0,0,0,0,0
5.67049684689461,268,0,0,0,0,0,0,1,"1",2.77414244464,96.6064307612649,0,0,0,0,0,0
5.6755118574646,269,0,0,0,0,0,0,1,"1",2.77457106924846,96.9519227607541,0,0,0,0,0,0
5.74681655730212,270,0,0,0,0,0,0,1,"1",2.7806725330148,97.0988121737826,0,0,0,0,0,0
5.92077026695611,271,0,0,0,0,0,0,1,"1",2.79561391185074,96.9375631059846,0,0,0,0,0,0
6.10283039890582,272,0,0,0,0,0,0,1,"1",2.81133756516594,96.7510993237645,0,0,0,0,0,0
6.15739787467797,273,0,0,0,0,0,0,1,"1",2.81606749704692,96.9436990719442,0,0,0,0,0,0
6.28312978784773,274,0,0,0,0,0,0,1,"1",2.8269963073806,96.9226593203014,0,0,0,0,0,0
6.46354697178307,275,0,0,0,0,0,0,1,"1",2.84275258243877,96.7372263414074,0,0,0,0,0,0
6.66491394354901,276,0,0,0,0,0,0,1,"1",2.86044218178272,96.4885784994222,0,0,0,0,0,0
6.77672052740934,277,0,0,0,0,0,0,1,"1",2.8703116021215,96.5052016635629,0,0,0,0,0,0
7.04217122921809,278,0,0,0,0,0,0,1,"1",2.89388014996152,96.064793838714,0,0,0,0,0,0
7.05997049652139,279,0,0,0,0,0,0,1,"1",2.89546739757808,96.3575000821526,0,0,0,0,0,0
7.1200793621737,280,0,0,0,0,0,0,1,"1",2.90083403578269,96.5239639862582,0,0,0,0,0,0
7.13511948359959,281,0,0,0,0,0,0,1,"1",2.90217840259733,96.8238202546463,0,0,0,0,0,0
7.15450746059753,282,0,0,0,0,0,0,1,"1",2.90391232336376,97.1103699416599,0,0,0,0,0,0
7.54015452835091,283,0,0,0,0,0,0,1,"1",2.93861786589111,96.3037771208074,0,0,0,0,0,0
7.82218046590484,284,0,0,0,0,0,0,1,"1",2.96426052762178,95.808042968427,0,0,0,0,0,0
8.08433298930229,285,0,0,0,0,0,0,1,"1",2.98829686108089,95.3720507864515,0,0,0,0,0,0
8.15940079568766,286,0,0,0,0,0,0,1,"1",2.99521553199295,95.4856159582284,0,0,0,0,0,0
8.22664721974596,287,0,0,0,0,0,0,1,"1",3.00142694122718,95.6211847297724,0,0,0,0,0,0
