"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","volume","generation","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
0,214,0,0,0,0,0,0,4.65899824154111,0,45.9326208994689,0,0,0,0,0,0
0.225,216,0.00225399312245233,0.000101056962789325,2.480541275623e-05,0,0,0,2.34570206851216,0,92.0833054203706,4.30817554138167e-05,1.05748351801402e-05,0,0,0,0
0.45,218,0.0044037497156914,0.000394343569646343,0.000186275755191288,0,0,0,2.36201771666784,0,92.2939732677104,0.000166951994840518,7.88629796791161e-05,0,0,0,0
0.675,220,0.00645422105583626,0.000864511085386805,0.000617818798488605,0,0,0,2.37844684913098,0,92.497337109039,0.000363477151361475,0.000259757243982281,0,0,0,0
0.9,222,0.00840994771678067,0.00149768230473916,0.00143731294946454,0,0,0,2.39499025524736,0,92.6934877975408,0.000625339623598793,0.000600133109650624,0,0,0,0
1.125,224,0.0102753133800711,0.00228062955099574,0.00275473798004161,0,0,0,2.41164872985308,0,92.882515279763,0.000945672362133219,0.00114226335947749,0,0,0,0
1.35,226,0.0120544906697503,0.00320094389633832,0.00467068610283434,0,0,0,2.4284230733128,0,93.064508603806,0.00131811624239415,0.00192334118142878,0,0,0,0
1.575,228,0.0137514574034552,0.00424696627788013,0.00727721623394276,0,0,0,2.44531409155812,0,93.239555927444,0.00173677741135251,0.00297598425456495,0,0,0,0
1.8,230,0.0153700132764804,0.00540771769123234,0.0106587104784152,0,0,0,2.46232259612635,0,93.4077445261758,0.00219618570683614,0.00432872219715775,0,0,0,0
2.025,232,0.0169137819656043,0.00667288697786728,0.0148920588605326,0,0,0,2.4794494041995,0,93.5691608012072,0.00269127773551873,0.00600619590595783,0,0,0,0
2.25,234,0.0183862189396081,0.00803279629118622,0.0200471020089891,0,0,0,2.49669533864351,0,93.7238902873651,0.00321737144570893,0.00802945465500046,0,0,0,0
2.475,236,0.0197906201669762,0.00947836328881643,0.0261871090981382,0,0,0,2.51406122804782,0,93.8720176609442,0.00377014019510433,0.010416257490464,0,0,0,0
2.7,238,0.0211301294950009,0.0110010690175549,0.0333691845750967,0,0,0,2.53154790676516,0,94.0136267474862,0.00434558990100733,0.0131813364013072,0,0,0,0
2.925,240,0.0224077453323494,0.0125929289682189,0.0416446333791452,0,0,0,2.54915621495165,0,94.1488005294929,0.00494003815629546,0.0163366345047375,0,0,0,0
3.15,242,0.0236263274987441,0.0142464635008163,0.0510593331756354,0,0,0,2.56688699860714,0,94.2776211540732,0.00555009375502184,0.0198915391302155,0,0,0,0
3.375,244,0.0247886037086289,0.0159546699977216,0.061654083377029,0,0,0,2.58474110961589,0,94.4001699405244,0.00617263753741763,0.0238530981488475,0,0,0,0
3.6,246,0.0258971756416812,0.0177109969315893,0.0734649287672786,0,0,0,2.60271940578749,0,94.5165273878494,0.0068048045794743,0.0282262193165809,0,0,0,0
3.825,248,0.0269545247642691,0.0195093191138859,0.086523467223122,0,0,0,2.62082275089803,0,94.6267731822085,0.00744396739810082,0.0330138568865347,0,0,0,0
4.05,250,0.0279630178838939,0.0213439141997581,0.100857140597302,0,0,0,2.63905201473169,0,94.7309862043083,0.00808772016641289,0.038217185578116,0,0,0,0
4.275,252,0.0289249124469999,0.0232094403950796,0.116489509537911,0,0,0,2.65740807312244,0,94.8292445367267,0.00873386388406978,0.0438357626425949,0,0,0,0
4.5,254,0.0298423615921927,0.0251009153055569,0.133440513081111,0,0,0,2.67589180799618,0,94.9216254711756,0.00938039244731406,0.0498676787612865,0,0,0,0
4.725,256,0.0307174189698912,0.0270136958730656,0.151726713778974,0,0,0,2.69450410741306,0,95.0082055157009,0.0100254795673706,0.0563096984567763,0,0,0,0
4.95,258,0.031552043341541,0.0289434593347682,0.171361529250533,0,0,0,2.7132458656102,0,95.0890604018211,0.0106674664841916,0.0631573907188078,0,0,0,0
5.175,260,0.0323481029600255,0.0308861851941299,0.192355450330986,0,0,0,2.73211798304464,0,95.1642650916045,0.0113048504441637,0.0704052502581267,0,0,0,0
