"sample.time","num.cells","parameter.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
30,71659,"67",50,3.98107170553497,"REG-ON"
40,28941,"67",50,3.98107170553497,"REG-ON"
50,16454,"67",50,3.98107170553497,"REG-ON"
60,5139,"67",50,3.98107170553497,"REG-ON"
0,100000,"68",200,3.98107170553497,"REG-ON"
10,97957,"68",200,3.98107170553497,"REG-ON"
20,78268,"68",200,3.98107170553497,"REG-ON"
30,92116,"68",200,3.98107170553497,"REG-ON"
40,45633,"68",200,3.98107170553497,"REG-ON"
50,33939,"68",200,3.98107170553497,"REG-ON"
60,13627,"68",200,3.98107170553497,"REG-ON"
0,100000,"69",2,5.01187233627272,"REG-ON"
10,92273,"69",2,5.01187233627272,"REG-ON"
20,38396,"69",2,5.01187233627272,"REG-ON"
30,14436,"69",2,5.01187233627272,"REG-ON"
40,2717,"69",2,5.01187233627272,"REG-ON"
50,403,"69",2,5.01187233627272,"REG-ON"
60,36,"69",2,5.01187233627272,"REG-ON"
0,100000,"70",10,5.01187233627272,"REG-ON"
10,93302,"70",10,5.01187233627272,"REG-ON"
20,44119,"70",10,5.01187233627272,"REG-ON"
30,20769,"70",10,5.01187233627272,"REG-ON"
40,4639,"70",10,5.01187233627272,"REG-ON"
50,960,"70",10,5.01187233627272,"REG-ON"
60,105,"70",10,5.01187233627272,"REG-ON"
0,100000,"71",50,5.01187233627272,"REG-ON"
10,95409,"71",50,5.01187233627272,"REG-ON"
20,57168,"71",50,5.01187233627272,"REG-ON"
30,39881,"71",50,5.01187233627272,"REG-ON"
40,11788,"71",50,5.01187233627272,"REG-ON"
50,4175,"71",50,5.01187233627272,"REG-ON"
60,873,"71",50,5.01187233627272,"REG-ON"
0,100000,"72",200,5.01187233627272,"REG-ON"
10,96350,"72",200,5.01187233627272,"REG-ON"
20,65643,"72",200,5.01187233627272,"REG-ON"
30,57537,"72",200,5.01187233627272,"REG-ON"
40,20933,"72",200,5.01187233627272,"REG-ON"
50,10267,"72",200,5.01187233627272,"REG-ON"
60,2744,"72",200,5.01187233627272,"REG-ON"
0,100000,"73",2,6.30957344480193,"REG-ON"
10,86718,"73",2,6.30957344480193,"REG-ON"
20,24504,"73",2,6.30957344480193,"REG-ON"
30,6256,"73",2,6.30957344480193,"REG-ON"
40,1118,"73",2,6.30957344480193,"REG-ON"
50,123,"73",2,6.30957344480193,"REG-ON"
60,7,"73",2,6.30957344480193,"REG-ON"
0,100000,"74",10,6.30957344480193,"REG-ON"
10,88878,"74",10,6.30957344480193,"REG-ON"
20,29685,"74",10,6.30957344480193,"REG-ON"
30,9374,"74",10,6.30957344480193,"REG-ON"
40,1813,"74",10,6.30957344480193,"REG-ON"
50,234,"74",10,6.30957344480193,"REG-ON"
60,8,"74",10,6.30957344480193,"REG-ON"
0,100000,"75",50,6.30957344480193,"REG-ON"
10,91801,"75",50,6.30957344480193,"REG-ON"
20,41538,"75",50,6.30957344480193,"REG-ON"
30,19818,"75",50,6.30957344480193,"REG-ON"
40,4628,"75",50,6.30957344480193,"REG-ON"
50,998,"75",50,6.30957344480193,"REG-ON"
60,116,"75",50,6.30957344480193,"REG-ON"
0,100000,"76",200,6.30957344480193,"REG-ON"
10,93579,"76",200,6.30957344480193,"REG-ON"
20,50072,"76",200,6.30957344480193,"REG-ON"
30,30271,"76",200,6.30957344480193,"REG-ON"
40,8029,"76",200,6.30957344480193,"REG-ON"
50,2488,"76",200,6.30957344480193,"REG-ON"
60,423,"76",200,6.30957344480193,"REG-ON"
0,100000,"77",2,7.94328234724282,"REG-ON"
10,78894,"77",2,7.94328234724282,"REG-ON"
20,15585,"77",2,7.94328234724282,"REG-ON"
30,3031,"77",2,7.94328234724282,"REG-ON"
40,546,"77",2,7.94328234724282,"REG-ON"
50,31,"77",2,7.94328234724282,"REG-ON"
60,0,"77",2,7.94328234724282,"REG-ON"
0,100000,"78",10,7.94328234724282,"REG-ON"
10,81296,"78",10,7.94328234724282,"REG-ON"
20,18581,"78",10,7.94328234724282,"REG-ON"
