"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param"
1,0,1000,1,1,0.1,0.5
1,10,1000,1,1,0.1,0.5
1,20,1019,1,1,0.1,0.5
1,30,1997,1,1,0.1,0.5
1,40,1997,1,1,0.1,0.5
1,50,3980,1,1,0.1,0.5
1,60,3971,1,1,0.1,0.5
1,70,7447,1,1,0.1,0.5
1,80,7876,1,1,0.1,0.5
1,90,11642,1,1,0.1,0.5
1,100,15575,1,1,0.1,0.5
1,110,17970,1,1,0.1,0.5
1,120,30806,1,1,0.1,0.5
1,130,31853,1,1,0.1,0.5
1,140,59744,1,1,0.1,0.5
1,150,61140,1,1,0.1,0.5
1,160,108051,1,1,0.1,0.5
1,170,120238,1,1,0.1,0.5
1,180,178241,1,1,0.1,0.5
2,0,1000,1,1,0.1,0.5
2,10,1000,1,1,0.1,0.5
2,20,1010,1,1,0.1,0.5
2,30,1994,1,1,0.1,0.5
2,40,1989,1,1,0.1,0.5
2,50,3963,1,1,0.1,0.5
2,60,3951,1,1,0.1,0.5
2,70,7512,1,1,0.1,0.5
2,80,7835,1,1,0.1,0.5
2,90,11762,1,1,0.1,0.5
2,100,15509,1,1,0.1,0.5
2,110,18101,1,1,0.1,0.5
2,120,30661,1,1,0.1,0.5
2,130,31678,1,1,0.1,0.5
2,140,59596,1,1,0.1,0.5
2,150,60768,1,1,0.1,0.5
2,160,108340,1,1,0.1,0.5
2,170,119530,1,1,0.1,0.5
2,180,179344,1,1,0.1,0.5
21,0,1000,1,1,0.1,0.5
21,10,1000,1,1,0.1,0.5
21,20,1011,1,1,0.1,0.5
21,30,1996,1,1,0.1,0.5
21,40,1998,1,1,0.1,0.5
21,50,3966,1,1,0.1,0.5
21,60,3954,1,1,0.1,0.5
21,70,7465,1,1,0.1,0.5
21,80,7836,1,1,0.1,0.5
21,90,11684,1,1,0.1,0.5
21,100,15528,1,1,0.1,0.5
21,110,17881,1,1,0.1,0.5
21,120,30695,1,1,0.1,0.5
21,130,31623,1,1,0.1,0.5
21,140,59677,1,1,0.1,0.5
21,150,60845,1,1,0.1,0.5
21,160,107674,1,1,0.1,0.5
21,170,119761,1,1,0.1,0.5
21,180,177788,1,1,0.1,0.5
41,0,1000,1,1,0.1,0.5
41,10,999,1,1,0.1,0.5
41,20,1014,1,1,0.1,0.5
41,30,1993,1,1,0.1,0.5
41,40,1990,1,1,0.1,0.5
41,50,3965,1,1,0.1,0.5
41,60,3959,1,1,0.1,0.5
41,70,7519,1,1,0.1,0.5
41,80,7845,1,1,0.1,0.5
41,90,11785,1,1,0.1,0.5
41,100,15527,1,1,0.1,0.5
41,110,17913,1,1,0.1,0.5
41,120,30685,1,1,0.1,0.5
41,130,31587,1,1,0.1,0.5
41,140,59695,1,1,0.1,0.5
41,150,60773,1,1,0.1,0.5
41,160,108342,1,1,0.1,0.5
41,170,119512,1,1,0.1,0.5
41,180,178799,1,1,0.1,0.5
61,0,1000,1,1,0.1,0.5
61,10,999,1,1,0.1,0.5
61,20,1004,1,1,0.1,0.5
61,30,1994,1,1,0.1,0.5
61,40,1992,1,1,0.1,0.5
61,50,3966,1,1,0.1,0.5
61,60,3953,1,1,0.1,0.5
61,70,7489,1,1,0.1,0.5
61,80,7834,1,1,0.1,0.5
61,90,11751,1,1,0.1,0.5
61,100,15521,1,1,0.1,0.5
61,110,17937,1,1,0.1,0.5
61,120,30725,1,1,0.1,0.5
61,130,31616,1,1,0.1,0.5
61,140,59796,1,1,0.1,0.5
61,150,60895,1,1,0.1,0.5
61,160,108285,1,1,0.1,0.5
61,170,119797,1,1,0.1,0.5
61,180,178576,1,1,0.1,0.5
81,0,1000,1,1,0.1,0.5
81,10,1000,1,1,0.1,0.5
81,20,1010,1,1,0.1,0.5
81,30,1992,1,1,0.1,0.5
81,40,1982,1,1,0.1,0.5
81,50,3941,1,1,0.1,0.5
81,60,3921,1,1,0.1,0.5
81,70,7383,1,1,0.1,0.5
81,80,7771,1,1,0.1,0.5
81,90,11456,1,1,0.1,0.5
81,100,15382,1,1,0.1,0.5
81,110,17630,1,1,0.1,0.5
81,120,30404,1,1,0.1,0.5
81,130,31285,1,1,0.1,0.5
81,140,59051,1,1,0.1,0.5
81,150,60259,1,1,0.1,0.5
81,160,106445,1,1,0.1,0.5
81,170,118541,1,1,0.1,0.5
81,180,174973,1,1,0.1,0.5
1,0,1000,2,1,0.125892541179417,0.5
1,10,1000,2,1,0.125892541179417,0.5
1,20,1010,2,1,0.125892541179417,0.5
1,30,1992,2,1,0.125892541179417,0.5
1,40,1983,2,1,0.125892541179417,0.5
1,50,3937,2,1,0.125892541179417,0.5
1,60,3920,2,1,0.125892541179417,0.5
1,70,7396,2,1,0.125892541179417,0.5
1,80,7714,2,1,0.125892541179417,0.5
1,90,11396,2,1,0.125892541179417,0.5
1,100,15190,2,1,0.125892541179417,0.5
1,110,17355,2,1,0.125892541179417,0.5
1,120,29924,2,1,0.125892541179417,0.5
1,130,30687,2,1,0.125892541179417,0.5
1,140,57897,2,1,0.125892541179417,0.5
1,150,58784,2,1,0.125892541179417,0.5
1,160,104356,2,1,0.125892541179417,0.5
1,170,115251,2,1,0.125892541179417,0.5
1,180,170680,2,1,0.125892541179417,0.5
