"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
0,"73",1,2.25,0.8,43.8134120612661,23.9252733741582,1000,"WT"
0,"74",1,2.5,0.8,37.4253708835772,19.5533322645284,1000,"WT"
0,"75",1,2.75,0.8,34.6188540536681,18.3601232452841,1000,"WT"
0,"76",1,3,0.8,32.217603130165,17.1128318745902,1000,"WT"
0,"77",1,3.5,0.8,28.6312983229262,14.621810172155,1000,"WT"
0,"78",1,4,0.8,25.5008288069699,12.9085377680766,1000,"WT"
0,"79",1,4.5,0.8,22.9945236135198,12.1752787125622,1000,"WT"
0,"80",1,5,0.8,21.968137664615,10.757383750375,1000,"WT"
1,"81",1,0,0.9,NA,NA,1000,"WT"
0.961,"82",1,0.5,0.9,28.7185586728853,27.6659136081585,1000,"WT"
0.903,"83",1,0.7,0.9,65.9271619406358,54.2838619713184,1000,"WT"
0.553,"84",1,0.9,0.9,165.977468119069,160.932399532373,1000,"WT"
0.098,"85",1,1,0.9,260.36099543419,255.2581176467,1000,"WT"
0.003,"86",1,1.1,0.9,182.566819623214,158.359401262329,1000,"WT"
0,"87",1,1.2,0.9,127.928019305595,101.535821386882,1000,"WT"
0,"88",1,1.3,0.9,102.023182890304,75.5830310207873,1000,"WT"
0,"89",1,1.4,0.9,86.2990323867465,58.6528037160272,1000,"WT"
0,"90",1,1.5,0.9,76.3731492113368,50.5183048442518,1000,"WT"
0,"91",1,1.75,0.9,59.0851356652943,35.3047747907677,1000,"WT"
0,"92",1,2,0.9,49.5496860583308,27.7998852826632,1000,"WT"
0,"93",1,2.25,0.9,45.0643450717928,24.3476126056571,1000,"WT"
0,"94",1,2.5,0.9,40.2415539230359,21.0124123870978,1000,"WT"
0,"95",1,2.75,0.9,35.7666233825322,19.3209002722443,1000,"WT"
0,"96",1,3,0.9,33.5287559038775,17.7620026801006,1000,"WT"
0,"97",1,3.5,0.9,28.3231031348181,14.5922533376862,1000,"WT"
