"survive","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type","extinction.time","extinction.time.sd"
0,"78",3,0.08567227,3,"WT",30.0854199839211,12.9395713396563
0,"79",4,0.08319832,3,"WT",26.7002314709637,10.5620248137353
0,"80",5,0.0822,3,"WT",25.1992342140357,9.17206151278109
0,"81",1,0.1043,3.5,"WT",41.2312082785891,29.3030728787868
0,"82",2,0.08951271,3.5,"WT",30.1928169332244,15.0180821289343
0,"83",3,0.08567227,3.5,"WT",25.6109678044496,10.9766422957909
0,"84",4,0.08319832,3.5,"WT",23.7969688606435,9.35664740223565
0,"85",5,0.0822,3.5,"WT",22.3029930609393,8.3416662591301
0,"86",1,0.1043,4,"WT",35.5544145149864,23.9354200983649
0,"87",2,0.08951271,4,"WT",26.8708104278653,13.6853214445815
0,"88",3,0.08567227,4,"WT",22.8305775067602,9.82878082124201
0,"89",4,0.08319832,4,"WT",21.4075729918104,8.19971352209365
0,"90",5,0.0822,4,"WT",20.0727855183047,7.31206784547029
0,"91",1,0.1043,4.5,"WT",33.4313163005078,21.9847424485988
0,"92",2,0.08951271,4.5,"WT",24.9096300245071,12.2314192482368
0,"93",3,0.08567227,4.5,"WT",21.5427477598612,8.6859739862868
0,"94",4,0.08319832,4.5,"WT",19.0628658471982,7.14745244667075
0,"95",5,0.0822,4.5,"WT",18.2415891823514,6.01581581510287
0,"96",1,0.1043,5,"WT",29.8264653948368,18.79218401476
0,"97",2,0.08951271,5,"WT",23.117221085665,11.2834389037295
0,"98",3,0.08567227,5,"WT",19.5811204310641,8.66321274108237
0,"99",4,0.08319832,5,"WT",17.9858238517738,7.17805163801865
0,"100",5,0.0822,5,"WT",16.7320081470788,6.27245514833655
