"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","final.size"
0,"94",10,4,30,"REG-OFF",9639
0,"95",50,4,30,"REG-OFF",20082
0,"96",200,4,30,"REG-OFF",27049
0,"97",2,5,30,"REG-OFF",353
0,"98",10,5,30,"REG-OFF",3188
0,"99",50,5,30,"REG-OFF",9229
0,"100",200,5,30,"REG-OFF",13119
1,"101",2,1,60,"REG-OFF",96458
1,"102",10,1,60,"REG-OFF",100596
0,"103",50,1,60,"REG-OFF",103461
1,"104",200,1,60,"REG-OFF",103373
0,"105",2,2,60,"REG-OFF",10460
0,"106",10,2,60,"REG-OFF",26240
0,"107",50,2,60,"REG-OFF",46832
0,"108",200,2,60,"REG-OFF",53734
0,"109",2,3,60,"REG-OFF",583
0,"110",10,3,60,"REG-OFF",3692
1,"111",50,3,60,"REG-OFF",13588
0,"112",200,3,60,"REG-OFF",19271
0,"113",2,4,60,"REG-OFF",0
0,"114",10,4,60,"REG-OFF",459
0,"115",50,4,60,"REG-OFF",3180
0,"116",200,4,60,"REG-OFF",4106
0,"117",2,5,60,"REG-OFF",0
0,"118",10,5,60,"REG-OFF",0
0,"119",50,5,60,"REG-OFF",785
0,"120",200,5,60,"REG-OFF",443
0,"121",2,1,120,"REG-OFF",77260
1,"122",10,1,120,"REG-OFF",84097
1,"123",50,1,120,"REG-OFF",95314
1,"124",200,1,120,"REG-OFF",96112
0,"125",2,2,120,"REG-OFF",427
0,"126",10,2,120,"REG-OFF",7626
0,"127",50,2,120,"REG-OFF",28640
0,"128",200,2,120,"REG-OFF",40202
0,"129",2,3,120,"REG-OFF",0
0,"130",10,3,120,"REG-OFF",233
0,"131",50,3,120,"REG-OFF",2914
0,"132",200,3,120,"REG-OFF",2580
0,"133",2,4,120,"REG-OFF",0
0,"134",10,4,120,"REG-OFF",0
0,"135",50,4,120,"REG-OFF",0
0,"136",200,4,120,"REG-OFF",0
0,"137",2,5,120,"REG-OFF",0
0,"138",10,5,120,"REG-OFF",0
0,"139",50,5,120,"REG-OFF",0
0,"140",200,5,120,"REG-OFF",0
0,"141",2,1,240,"REG-OFF",54168
1,"142",10,1,240,"REG-OFF",70417
1,"143",50,1,240,"REG-OFF",82708
0,"144",200,1,240,"REG-OFF",90201
0,"145",2,2,240,"REG-OFF",0
0,"146",10,2,240,"REG-OFF",1336
0,"147",50,2,240,"REG-OFF",16875
1,"148",200,2,240,"REG-OFF",24988
0,"149",2,3,240,"REG-OFF",0
0,"150",10,3,240,"REG-OFF",0
0,"151",50,3,240,"REG-OFF",0
0,"152",200,3,240,"REG-OFF",0
0,"153",2,4,240,"REG-OFF",0
0,"154",10,4,240,"REG-OFF",0
0,"155",50,4,240,"REG-OFF",0
0,"156",200,4,240,"REG-OFF",0
0,"157",2,5,240,"REG-OFF",0
0,"158",10,5,240,"REG-OFF",0
0,"159",50,5,240,"REG-OFF",0
0,"160",200,5,240,"REG-OFF",0
0,"161",2,1,480,"REG-OFF",33507
1,"162",10,1,480,"REG-OFF",59519
1,"163",50,1,480,"REG-OFF",77358
1,"164",200,1,480,"REG-OFF",85774
0,"165",2,2,480,"REG-OFF",0
0,"166",10,2,480,"REG-OFF",0
0,"167",50,2,480,"REG-OFF",8413
0,"168",200,2,480,"REG-OFF",20718
0,"169",2,3,480,"REG-OFF",0
0,"170",10,3,480,"REG-OFF",0
0,"171",50,3,480,"REG-OFF",0
0,"172",200,3,480,"REG-OFF",0
0,"173",2,4,480,"REG-OFF",0
0,"174",10,4,480,"REG-OFF",0
0,"175",50,4,480,"REG-OFF",0
0,"176",200,4,480,"REG-OFF",0
0,"177",2,5,480,"REG-OFF",0
0,"178",10,5,480,"REG-OFF",0
0,"179",50,5,480,"REG-OFF",0
0,"180",200,5,480,"REG-OFF",0
1,"1",2,0,Inf,"REG-BURST",113602
1,"2",10,0,Inf,"REG-BURST",113755
1,"3",50,0,Inf,"REG-BURST",113834
1,"4",200,0,Inf,"REG-BURST",113910
1,"5",2,0.5,Inf,"REG-BURST",104303
1,"6",10,0.5,Inf,"REG-BURST",104423
1,"7",50,0.5,Inf,"REG-BURST",105795
1,"8",200,0.5,Inf,"REG-BURST",107512
1,"9",2,0.7,Inf,"REG-BURST",90468
1,"10",10,0.7,Inf,"REG-BURST",96894
1,"11",50,0.7,Inf,"REG-BURST",100412
1,"12",200,0.7,Inf,"REG-BURST",102227
0,"13",2,0.9,Inf,"REG-BURST",59723
1,"14",10,0.9,Inf,"REG-BURST",73163
1,"15",50,0.9,Inf,"REG-BURST",83924
1,"16",200,0.9,Inf,"REG-BURST",92418
0,"17",2,1,Inf,"REG-BURST",12794
1,"18",10,1,Inf,"REG-BURST",55015
1,"19",50,1,Inf,"REG-BURST",69937
1,"20",200,1,Inf,"REG-BURST",80990
0,"21",2,1.1,Inf,"REG-BURST",4
0,"22",10,1.1,Inf,"REG-BURST",32271
0,"23",50,1.1,Inf,"REG-BURST",56578
0,"24",200,1.1,Inf,"REG-BURST",67216
0,"25",2,1.2,Inf,"REG-BURST",0
1,"26",10,1.2,Inf,"REG-BURST",17905
0,"27",50,1.2,Inf,"REG-BURST",43571
0,"28",200,1.2,Inf,"REG-BURST",57229
0,"29",2,1.3,Inf,"REG-BURST",0
0,"30",10,1.3,Inf,"REG-BURST",10750
0,"31",50,1.3,Inf,"REG-BURST",34494
0,"32",200,1.3,Inf,"REG-BURST",49763
0,"33",2,1.4,Inf,"REG-BURST",0
0,"34",10,1.4,Inf,"REG-BURST",4459
0,"35",50,1.4,Inf,"REG-BURST",30332
0,"36",200,1.4,Inf,"REG-BURST",47731
0,"37",2,1.5,Inf,"REG-BURST",0
0,"38",10,1.5,Inf,"REG-BURST",1191
0,"39",50,1.5,Inf,"REG-BURST",24735
1,"40",200,1.5,Inf,"REG-BURST",41043
0,"41",2,1.75,Inf,"REG-BURST",0
0,"42",10,1.75,Inf,"REG-BURST",0
0,"43",50,1.75,Inf,"REG-BURST",18625
0,"44",200,1.75,Inf,"REG-BURST",32758
0,"45",2,2,Inf,"REG-BURST",0
0,"46",10,2,Inf,"REG-BURST",0
0,"47",50,2,Inf,"REG-BURST",12879
1,"48",200,2,Inf,"REG-BURST",29782
0,"49",2,2.25,Inf,"REG-BURST",0
0,"50",10,2.25,Inf,"REG-BURST",0
0,"51",50,2.25,Inf,"REG-BURST",9371
1,"52",200,2.25,Inf,"REG-BURST",22909
0,"53",2,2.5,Inf,"REG-BURST",0
0,"54",10,2.5,Inf,"REG-BURST",0
0,"55",50,2.5,Inf,"REG-BURST",8350
0,"56",200,2.5,Inf,"REG-BURST",23378
0,"57",2,2.75,Inf,"REG-BURST",0
0,"58",10,2.75,Inf,"REG-BURST",0
0,"59",50,2.75,Inf,"REG-BURST",5580
1,"60",200,2.75,Inf,"REG-BURST",19956
0,"61",2,3,Inf,"REG-BURST",0
0,"62",10,3,Inf,"REG-BURST",0
0,"63",50,3,Inf,"REG-BURST",3649
0,"64",200,3,Inf,"REG-BURST",17330
0,"65",2,3.5,Inf,"REG-BURST",0
0,"66",10,3.5,Inf,"REG-BURST",0
0,"67",50,3.5,Inf,"REG-BURST",1105
0,"68",200,3.5,Inf,"REG-BURST",14614
0,"69",2,4,Inf,"REG-BURST",0
0,"70",10,4,Inf,"REG-BURST",0
0,"71",50,4,Inf,"REG-BURST",236
0,"72",200,4,Inf,"REG-BURST",11458
0,"73",2,4.5,Inf,"REG-BURST",0
0,"74",10,4.5,Inf,"REG-BURST",0
0,"75",50,4.5,Inf,"REG-BURST",0
0,"76",200,4.5,Inf,"REG-BURST",10454
0,"77",2,5,Inf,"REG-BURST",0
0,"78",10,5,Inf,"REG-BURST",0
0,"79",50,5,Inf,"REG-BURST",0
0,"80",200,5,Inf,"REG-BURST",10211
1,"81",2,1,30,"REG-BURST",107360
1,"82",10,1,30,"REG-BURST",108300
1,"83",50,1,30,"REG-BURST",109562
1,"84",200,1,30,"REG-BURST",109574
0,"85",2,2,30,"REG-BURST",61784
0,"86",10,2,30,"REG-BURST",71645
0,"87",50,2,30,"REG-BURST",73141
1,"88",200,2,30,"REG-BURST",80439
0,"89",2,3,30,"REG-BURST",14796
0,"90",10,3,30,"REG-BURST",24464
0,"91",50,3,30,"REG-BURST",39833
0,"92",200,3,30,"REG-BURST",52923
0,"93",2,4,30,"REG-BURST",3669
0,"94",10,4,30,"REG-BURST",10825
0,"95",50,4,30,"REG-BURST",22423
0,"96",200,4,30,"REG-BURST",39426
0,"97",2,5,30,"REG-BURST",803
0,"98",10,5,30,"REG-BURST",5670
0,"99",50,5,30,"REG-BURST",19346
0,"100",200,5,30,"REG-BURST",32268
1,"101",2,1,60,"REG-BURST",96488
1,"102",10,1,60,"REG-BURST",99865
1,"103",50,1,60,"REG-BURST",103050
1,"104",200,1,60,"REG-BURST",104552
0,"105",2,2,60,"REG-BURST",11363
0,"106",10,2,60,"REG-BURST",24532
0,"107",50,2,60,"REG-BURST",37437
1,"108",200,2,60,"REG-BURST",52257
0,"109",2,3,60,"REG-BURST",698
0,"110",10,3,60,"REG-BURST",4707
0,"111",50,3,60,"REG-BURST",20255
0,"112",200,3,60,"REG-BURST",31148
0,"113",2,4,60,"REG-BURST",0
0,"114",10,4,60,"REG-BURST",2693
1,"115",50,4,60,"REG-BURST",14929
1,"116",200,4,60,"REG-BURST",27085
0,"117",2,5,60,"REG-BURST",0
0,"118",10,5,60,"REG-BURST",660
1,"119",50,5,60,"REG-BURST",11009
0,"120",200,5,60,"REG-BURST",23664
1,"121",2,1,120,"REG-BURST",78241
0,"122",10,1,120,"REG-BURST",84420
1,"123",50,1,120,"REG-BURST",90855
1,"124",200,1,120,"REG-BURST",91709
0,"125",2,2,120,"REG-BURST",234
0,"126",10,2,120,"REG-BURST",6505
0,"127",50,2,120,"REG-BURST",22329
0,"128",200,2,120,"REG-BURST",37698
0,"129",2,3,120,"REG-BURST",0
0,"130",10,3,120,"REG-BURST",1325
0,"131",50,3,120,"REG-BURST",9891
0,"132",200,3,120,"REG-BURST",24602
0,"133",2,4,120,"REG-BURST",0
0,"134",10,4,120,"REG-BURST",0
0,"135",50,4,120,"REG-BURST",6355
0,"136",200,4,120,"REG-BURST",19950
0,"137",2,5,120,"REG-BURST",0
0,"138",10,5,120,"REG-BURST",109
0,"139",50,5,120,"REG-BURST",3630
1,"140",200,5,120,"REG-BURST",16630
1,"141",2,1,240,"REG-BURST",54158
0,"142",10,1,240,"REG-BURST",66169
1,"143",50,1,240,"REG-BURST",76189
1,"144",200,1,240,"REG-BURST",81124
0,"145",2,2,240,"REG-BURST",0
0,"146",10,2,240,"REG-BURST",1656
0,"147",50,2,240,"REG-BURST",17520
0,"148",200,2,240,"REG-BURST",31263
0,"149",2,3,240,"REG-BURST",0
0,"150",10,3,240,"REG-BURST",109
0,"151",50,3,240,"REG-BURST",7687
0,"152",200,3,240,"REG-BURST",19660
0,"153",2,4,240,"REG-BURST",0
0,"154",10,4,240,"REG-BURST",0
0,"155",50,4,240,"REG-BURST",1893
0,"156",200,4,240,"REG-BURST",15953
0,"157",2,5,240,"REG-BURST",0
0,"158",10,5,240,"REG-BURST",0
0,"159",50,5,240,"REG-BURST",1346
0,"160",200,5,240,"REG-BURST",12177
0,"161",2,1,480,"REG-BURST",36744
0,"162",10,1,480,"REG-BURST",52362
1,"163",50,1,480,"REG-BURST",71389
1,"164",200,1,480,"REG-BURST",80402
0,"165",2,2,480,"REG-BURST",0
0,"166",10,2,480,"REG-BURST",0
0,"167",50,2,480,"REG-BURST",12532
0,"168",200,2,480,"REG-BURST",25829
0,"169",2,3,480,"REG-BURST",0
0,"170",10,3,480,"REG-BURST",0
1,"171",50,3,480,"REG-BURST",4184
1,"172",200,3,480,"REG-BURST",19566
0,"173",2,4,480,"REG-BURST",0
0,"174",10,4,480,"REG-BURST",0
0,"175",50,4,480,"REG-BURST",1217
0,"176",200,4,480,"REG-BURST",13108
0,"177",2,5,480,"REG-BURST",0
0,"178",10,5,480,"REG-BURST",0
0,"179",50,5,480,"REG-BURST",115
0,"180",200,5,480,"REG-BURST",9608
1,"1",2,0,Inf,"STRUCT-BIND",113455
1,"2",10,0,Inf,"STRUCT-BIND",113595
1,"3",50,0,Inf,"STRUCT-BIND",113640
1,"4",200,0,Inf,"STRUCT-BIND",113533
1,"5",2,0.5,Inf,"STRUCT-BIND",104355
1,"6",10,0.5,Inf,"STRUCT-BIND",104206
1,"7",50,0.5,Inf,"STRUCT-BIND",105503
1,"8",200,0.5,Inf,"STRUCT-BIND",106935
1,"9",2,0.7,Inf,"STRUCT-BIND",91355
1,"10",10,0.7,Inf,"STRUCT-BIND",96532
1,"11",50,0.7,Inf,"STRUCT-BIND",99873
1,"12",200,0.7,Inf,"STRUCT-BIND",102357
1,"13",2,0.9,Inf,"STRUCT-BIND",58463
1,"14",10,0.9,Inf,"STRUCT-BIND",74464
1,"15",50,0.9,Inf,"STRUCT-BIND",84655
1,"16",200,0.9,Inf,"STRUCT-BIND",91300
0,"17",2,1,Inf,"STRUCT-BIND",12619
1,"18",10,1,Inf,"STRUCT-BIND",52937
1,"19",50,1,Inf,"STRUCT-BIND",66521
0,"20",200,1,Inf,"STRUCT-BIND",77123
0,"21",2,1.1,Inf,"STRUCT-BIND",98
1,"22",10,1.1,Inf,"STRUCT-BIND",31288
0,"23",50,1.1,Inf,"STRUCT-BIND",54511
0,"24",200,1.1,Inf,"STRUCT-BIND",67105
0,"25",2,1.2,Inf,"STRUCT-BIND",0
0,"26",10,1.2,Inf,"STRUCT-BIND",17872
1,"27",50,1.2,Inf,"STRUCT-BIND",42573
1,"28",200,1.2,Inf,"STRUCT-BIND",56339
0,"29",2,1.3,Inf,"STRUCT-BIND",0
0,"30",10,1.3,Inf,"STRUCT-BIND",9816
0,"31",50,1.3,Inf,"STRUCT-BIND",36292
1,"32",200,1.3,Inf,"STRUCT-BIND",48459
0,"33",2,1.4,Inf,"STRUCT-BIND",0
0,"34",10,1.4,Inf,"STRUCT-BIND",4405
0,"35",50,1.4,Inf,"STRUCT-BIND",30949
0,"36",200,1.4,Inf,"STRUCT-BIND",45057
0,"37",2,1.5,Inf,"STRUCT-BIND",0
0,"38",10,1.5,Inf,"STRUCT-BIND",2064
0,"39",50,1.5,Inf,"STRUCT-BIND",25388
1,"40",200,1.5,Inf,"STRUCT-BIND",40195
0,"41",2,1.75,Inf,"STRUCT-BIND",0
0,"42",10,1.75,Inf,"STRUCT-BIND",0
0,"43",50,1.75,Inf,"STRUCT-BIND",16620
0,"44",200,1.75,Inf,"STRUCT-BIND",33745
0,"45",2,2,Inf,"STRUCT-BIND",0
0,"46",10,2,Inf,"STRUCT-BIND",0
0,"47",50,2,Inf,"STRUCT-BIND",11568
0,"48",200,2,Inf,"STRUCT-BIND",29802
0,"49",2,2.25,Inf,"STRUCT-BIND",0
0,"50",10,2.25,Inf,"STRUCT-BIND",0
0,"51",50,2.25,Inf,"STRUCT-BIND",9982
0,"52",200,2.25,Inf,"STRUCT-BIND",26253
0,"53",2,2.5,Inf,"STRUCT-BIND",0
0,"54",10,2.5,Inf,"STRUCT-BIND",0
