"survive","parameter.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","cell.type","extinction.time","extinction.time.sd"
0.007,"120",200,5,60,"REG-ON",27.5720845860305,13.0739797161133
0.715,"121",2,1,120,"REG-ON",72.0296964908542,34.7589238589087
0.843,"122",10,1,120,"REG-ON",63.1188310512098,32.0797788323147
0.955,"123",50,1,120,"REG-ON",38.4244490229056,19.0433834956326
0.985,"124",200,1,120,"REG-ON",38.0820317406183,21.2326139714444
0.003,"125",2,2,120,"REG-ON",45.7012802472119,21.82997619501
0.025,"126",10,2,120,"REG-ON",52.192526437936,25.3437047739111
0.196,"127",50,2,120,"REG-ON",66.287976824556,32.2305302680066
0.482,"128",200,2,120,"REG-ON",67.2046772911612,33.0175180127839
0,"129",2,3,120,"REG-ON",29.2601146091976,12.7892393670755
0,"130",10,3,120,"REG-ON",33.5345263370509,15.8793186878228
0.003,"131",50,3,120,"REG-ON",42.8700081710736,22.2152803561073
0.038,"132",200,3,120,"REG-ON",51.9685809535352,27.4582345262848
0,"133",2,4,120,"REG-ON",22.9455220413625,9.65143593615975
0,"134",10,4,120,"REG-ON",25.7910397484449,11.5626568642537
0,"135",50,4,120,"REG-ON",31.6600648611721,15.0605008296408
0,"136",200,4,120,"REG-ON",36.7741436521676,18.8926314502414
0,"137",2,5,120,"REG-ON",20.1021603853814,8.20872046254031
0,"138",10,5,120,"REG-ON",21.1271063190587,8.73307079770839
0,"139",50,5,120,"REG-ON",24.8201587395744,11.9472558101559
0,"140",200,5,120,"REG-ON",28.2280019543334,12.7943798078605
0.491,"141",2,1,240,"REG-ON",118.750990147289,66.6285811635279
0.807,"142",10,1,240,"REG-ON",89.4834929273988,54.0251500963681
0.958,"143",50,1,240,"REG-ON",41.6769033460863,28.1631853645985
0.981,"144",200,1,240,"REG-ON",35.4904108507343,28.2638062923904
0,"145",2,2,240,"REG-ON",45.8058815358548,21.4739276224077
0,"146",10,2,240,"REG-ON",56.0295323723675,29.6762798348005
0.04,"147",50,2,240,"REG-ON",86.5119694428291,53.720477189331
0.257,"148",200,2,240,"REG-ON",102.280574778717,62.6347478944293
0,"149",2,3,240,"REG-ON",29.5672318285025,12.7490175317351
0,"150",10,3,240,"REG-ON",33.418259950012,15.6552409022865
0,"151",50,3,240,"REG-ON",42.403025801579,22.2602387594441
0,"152",200,3,240,"REG-ON",53.9902617410494,32.3129882487106
0,"153",2,4,240,"REG-ON",22.800897375228,9.6252067376829
0,"154",10,4,240,"REG-ON",25.1312227398241,10.911343699891
0,"155",50,4,240,"REG-ON",31.2509389040488,14.5402768379141
0,"156",200,4,240,"REG-ON",36.1573097098601,19.844044208591
0,"157",2,5,240,"REG-ON",19.5944488990121,8.34257575955818
0,"158",10,5,240,"REG-ON",21.1015344467535,9.37366324769569
0,"159",50,5,240,"REG-ON",24.6314788876826,11.7209350617661
0,"160",200,5,240,"REG-ON",27.7418627042822,13.9331528249405
0.319,"161",2,1,480,"REG-ON",175.130373184547,122.844853225414
0.775,"162",10,1,480,"REG-ON",105.278764850232,73.6625812607543
0.961,"163",50,1,480,"REG-ON",47.3926001826287,30.6256207065294
0.976,"164",200,1,480,"REG-ON",32.599426303623,17.476862185
0,"165",2,2,480,"REG-ON",45.9582178273508,20.6550020129882
0,"166",10,2,480,"REG-ON",55.4752866972731,30.167980711332
0,"167",50,2,480,"REG-ON",90.525404832675,61.4383575603561
0.126,"168",200,2,480,"REG-ON",145.196456069595,112.02908761533
0,"169",2,3,480,"REG-ON",29.2692920850134,12.7277162899758
0,"170",10,3,480,"REG-ON",32.8560910434553,15.6164693731227
0,"171",50,3,480,"REG-ON",44.1392204044243,23.7810249829021
0,"172",200,3,480,"REG-ON",55.2507435611413,34.0554284983063
0,"173",2,4,480,"REG-ON",23.4531498885282,9.94269633291749
0,"174",10,4,480,"REG-ON",25.0062180404677,11.1502848951444
0,"175",50,4,480,"REG-ON",29.9809961275814,14.7608575057767
0,"176",200,4,480,"REG-ON",34.8584667692366,17.1285307960918
0,"177",2,5,480,"REG-ON",19.1585770632272,8.31853642964804
0,"178",10,5,480,"REG-ON",20.8129867270511,9.11959954586429
0,"179",50,5,480,"REG-ON",24.9476845022795,11.9946051414789
0,"180",200,5,480,"REG-ON",28.021535161787,13.5665772521667
1,"1",2,0,Inf,"REG-OFF",NA,NA
1,"2",10,0,Inf,"REG-OFF",NA,NA
1,"3",50,0,Inf,"REG-OFF",NA,NA
1,"4",200,0,Inf,"REG-OFF",NA,NA
0.991,"5",2,0.5,Inf,"REG-OFF",25.2824170424648,19.5749578738319
0.993,"6",10,0.5,Inf,"REG-OFF",24.6293953706719,20.3462513509169
0.992,"7",50,0.5,Inf,"REG-OFF",41.7098617741702,31.411817214876
0.998,"8",200,0.5,Inf,"REG-OFF",43.3898178561446,5.46933043458943
0.965,"9",2,0.7,Inf,"REG-OFF",58.0173943184751,51.4965613923579
0.97,"10",10,0.7,Inf,"REG-OFF",56.739414317101,38.8281054626929
0.976,"11",50,0.7,Inf,"REG-OFF",63.0927182511369,47.0226000430674
0.977,"12",200,0.7,Inf,"REG-OFF",43.6485164660716,34.9804809028352
0.685,"13",2,0.9,Inf,"REG-OFF",152.312261043431,136.293060697091
0.794,"14",10,0.9,Inf,"REG-OFF",107.557341361856,87.2494551463365
0.863,"15",50,0.9,Inf,"REG-OFF",99.628489088891,64.7833660670333
0.887,"16",200,0.9,Inf,"REG-OFF",101.461092125918,86.2241201750023
0.233,"17",2,1,Inf,"REG-OFF",247.280695296051,228.347597235059
0.596,"18",10,1,Inf,"REG-OFF",139.907141062691,100.221086554057
0.778,"19",50,1,Inf,"REG-OFF",106.844139517141,67.4030028110697
0.826,"20",200,1,Inf,"REG-OFF",111.951840717678,73.7409799474936
0.004,"21",2,1.1,Inf,"REG-OFF",188.872780447204,167.618770806721
0.387,"22",10,1.1,Inf,"REG-OFF",154.236770028602,116.912467391277
0.662,"23",50,1.1,Inf,"REG-OFF",113.481082351069,71.2195848301691
0.76,"24",200,1.1,Inf,"REG-OFF",94.1182133810458,62.3203087059699
0,"25",2,1.2,Inf,"REG-OFF",125.104724977281,89.4693177350179
0.253,"26",10,1.2,Inf,"REG-OFF",116.888879397972,86.0355701429416
0.565,"27",50,1.2,Inf,"REG-OFF",100.562769897228,65.292474707544
0.665,"28",200,1.2,Inf,"REG-OFF",89.0647280599496,55.475978188069
0,"29",2,1.3,Inf,"REG-OFF",100.080750374493,60.4087358394192
0.138,"30",10,1.3,Inf,"REG-OFF",123.051244644687,115.300367510009
0.492,"31",50,1.3,Inf,"REG-OFF",89.4710007720179,55.5992596447089
0.641,"32",200,1.3,Inf,"REG-OFF",80.7041777717683,46.6655888774806
0,"33",2,1.4,Inf,"REG-OFF",84.0830449463197,49.3150472524047
0.068,"34",10,1.4,Inf,"REG-OFF",114.751279670321,120.625101739489
0.435,"35",50,1.4,Inf,"REG-OFF",80.2830060947292,54.6797900722017
0.571,"36",200,1.4,Inf,"REG-OFF",71.3438697299818,40.0939404418336
0,"37",2,1.5,Inf,"REG-OFF",73.2882283969699,39.1254367499047
0.018,"38",10,1.5,Inf,"REG-OFF",107.448269458736,123.85062247205
0.397,"39",50,1.5,Inf,"REG-OFF",74.9520965707795,48.0925181064663
0.511,"40",200,1.5,Inf,"REG-OFF",66.5875963521283,38.0354395563603
0,"41",2,1.75,Inf,"REG-OFF",55.5351514209114,27.1198615685694
0,"42",10,1.75,Inf,"REG-OFF",79.1660199501844,86.9991272120132
0.221,"43",50,1.75,Inf,"REG-OFF",80.9143015981865,76.8632193339267
0.376,"44",200,1.75,Inf,"REG-OFF",72.9569241805457,66.5333045914452
0,"45",2,2,Inf,"REG-OFF",45.9139119024873,21.8671605652779
0,"46",10,2,Inf,"REG-OFF",57.2195005087937,41.6204930439806
0.036,"47",50,2,Inf,"REG-OFF",107.882092822098,162.674959233659
0.153,"48",200,2,Inf,"REG-OFF",108.429646029689,155.4340762912
0,"49",2,2.25,Inf,"REG-OFF",39.6665292948111,19.3648235589473
0,"50",10,2.25,Inf,"REG-OFF",49.9412543239207,33.9955572983588
0,"51",50,2.25,Inf,"REG-OFF",82.2383739075808,97.6052837595385
0,"52",200,2.25,Inf,"REG-OFF",104.954166223113,144.714814880997
0,"53",2,2.5,Inf,"REG-OFF",35.8564880317835,15.8081463613116
0,"54",10,2.5,Inf,"REG-OFF",42.6753014462064,26.4197569531633
0,"55",50,2.5,Inf,"REG-OFF",57.9027020559946,51.0981003246346
0,"56",200,2.5,Inf,"REG-OFF",68.5627751405599,60.7102195371774
0,"57",2,2.75,Inf,"REG-OFF",32.9227048337942,15.1882919170045
0,"58",10,2.75,Inf,"REG-OFF",37.290160966248,21.0912379802241
0,"59",50,2.75,Inf,"REG-OFF",48.1067352638682,36.5081885490396
0,"60",200,2.75,Inf,"REG-OFF",55.1980206220037,45.6355225328343
0,"61",2,3,Inf,"REG-OFF",29.9140034147663,13.5116460282942
0,"62",10,3,Inf,"REG-OFF",34.701121889549,18.7347205428402
0,"63",50,3,Inf,"REG-OFF",42.6414002144783,28.8677644424326
0,"64",200,3,Inf,"REG-OFF",45.7897708723139,32.7429146156969
0,"65",2,3.5,Inf,"REG-OFF",25.4305068351343,11.3000697804244
0,"66",10,3.5,Inf,"REG-OFF",29.5075936354619,16.0586172964641
0,"67",50,3.5,Inf,"REG-OFF",34.2185423815451,20.3529642036951
0,"68",200,3.5,Inf,"REG-OFF",35.9246488614546,23.8136410739609
0,"69",2,4,Inf,"REG-OFF",23.3869784918515,10.5152798264596
0,"70",10,4,Inf,"REG-OFF",25.8715567058011,12.648568796236
0,"71",50,4,Inf,"REG-OFF",29.4641942412974,16.5945639030288
0,"72",200,4,Inf,"REG-OFF",30.0525605102925,17.0225411285212
0,"73",2,4.5,Inf,"REG-OFF",20.8320420362284,9.037541437135
0,"74",10,4.5,Inf,"REG-OFF",22.9227110539128,10.3165365051653
0,"75",50,4.5,Inf,"REG-OFF",25.745887163161,13.8784041509586
0,"76",200,4.5,Inf,"REG-OFF",27.0467683924898,14.7759209884781
0,"77",2,5,Inf,"REG-OFF",19.845986061132,9.06088976382836
0,"78",10,5,Inf,"REG-OFF",21.0795377306889,9.72088650960286
0,"79",50,5,Inf,"REG-OFF",23.5823751069762,13.2043185046124
0,"80",200,5,Inf,"REG-OFF",24.5264861521038,13.5234694786322
0.942,"81",2,1,30,"REG-OFF",23.7624286331641,11.0983569896992
0.953,"82",10,1,30,"REG-OFF",26.6581890654672,9.92131538906572
0.965,"83",50,1,30,"REG-OFF",24.0408882747342,10.3542129924829
0.974,"84",200,1,30,"REG-OFF",22.3729410406901,9.53523249950873
0.567,"85",2,2,30,"REG-OFF",29.8264538622963,11.4438051168088
0.632,"86",10,2,30,"REG-OFF",29.0997769138841,11.2769521348757
0.705,"87",50,2,30,"REG-OFF",27.4732149336792,10.7928280178479
0.755,"88",200,2,30,"REG-OFF",28.2525782053592,10.7355006284651
0.145,"89",2,3,30,"REG-OFF",26.3225205399246,10.3578427720893
0.256,"90",10,3,30,"REG-OFF",26.7457659778508,10.758513646847
0.372,"91",50,3,30,"REG-OFF",27.1199652496009,10.9710423940907
0.458,"92",200,3,30,"REG-OFF",26.6986693994631,10.8106780424651
0.037,"93",2,4,30,"REG-OFF",22.9844164823744,10.1204452094166
0.085,"94",10,4,30,"REG-OFF",23.2747275931538,9.93692667227445
0.178,"95",50,4,30,"REG-OFF",23.9444482992855,10.3720440438934
0.239,"96",200,4,30,"REG-OFF",23.7754969844862,10.3613012372364
0.003,"97",2,5,30,"REG-OFF",19.8327685645628,7.923236272419
0.028,"98",10,5,30,"REG-OFF",20.5540038522515,8.96841687723345
0.082,"99",50,5,30,"REG-OFF",21.35471088181,9.74521591586154
0.116,"100",200,5,30,"REG-OFF",21.6282385363612,9.8909909152473
0.86,"101",2,1,60,"REG-OFF",41.5583829195229,17.5093713383136
0.898,"102",10,1,60,"REG-OFF",43.0739503798567,19.1278242018457
0.926,"103",50,1,60,"REG-OFF",43.6067287885091,17.6858751830459
0.922,"104",200,1,60,"REG-OFF",42.6204080454065,19.6192757986326
0.093,"105",2,2,60,"REG-OFF",40.9993940672143,16.4507346424212
0.233,"106",10,2,60,"REG-OFF",41.7144664843198,16.8693312063537
0.414,"107",50,2,60,"REG-OFF",39.5147364086702,16.1903143896928
0.478,"108",200,2,60,"REG-OFF",40.1506923185595,17.1387192639011
0.005,"109",2,3,60,"REG-OFF",29.9854176910607,12.7786366637143
0.033,"110",10,3,60,"REG-OFF",31.3022116593766,14.0507964749682
0.121,"111",50,3,60,"REG-OFF",33.4433489737656,15.2707325411524
0.171,"112",200,3,60,"REG-OFF",34.9411470123072,16.3329516022957
0,"113",2,4,60,"REG-OFF",22.9191838054321,9.76296390241825
0.004,"114",10,4,60,"REG-OFF",25.1410796242202,11.7812296882839
0.028,"115",50,4,60,"REG-OFF",28.451497296339,15.0206780324055
0.036,"116",200,4,60,"REG-OFF",28.7234260592108,14.4251974556561
0,"117",2,5,60,"REG-OFF",19.4877414256823,8.75562736920291
0,"118",10,5,60,"REG-OFF",20.8362382439978,9.72760233092201
0.007,"119",50,5,60,"REG-OFF",23.8574251869138,11.7525675158852
0.004,"120",200,5,60,"REG-OFF",24.4880030360207,13.0574239319221
0.69,"121",2,1,120,"REG-OFF",75.7632782742998,33.6453256602703
0.752,"122",10,1,120,"REG-OFF",69.8032170612867,33.7595128290934
0.852,"123",50,1,120,"REG-OFF",66.362604293459,33.9597289517197
0.86,"124",200,1,120,"REG-OFF",65.8042494194245,33.5905186916426
0.004,"125",2,2,120,"REG-OFF",44.7495506584812,21.0262505499972
0.069,"126",10,2,120,"REG-OFF",50.5860572846537,25.4123019515653
0.257,"127",50,2,120,"REG-OFF",53.9500866113581,27.5949736674652
0.357,"128",200,2,120,"REG-OFF",50.4385500480424,26.4756996123581
0,"129",2,3,120,"REG-OFF",29.6757087176299,13.4077074880661
0.002,"130",10,3,120,"REG-OFF",33.1897931844786,17.8403953839518
0.026,"131",50,3,120,"REG-OFF",40.0581350637405,23.9806205134356
0.023,"132",200,3,120,"REG-OFF",42.3358307485187,25.4453810003028
0,"133",2,4,120,"REG-OFF",23.0373542536547,10.1319529053459
0,"134",10,4,120,"REG-OFF",24.8535953276438,11.9598450083117
0,"135",50,4,120,"REG-OFF",29.4159568744568,16.5415454106751
0,"136",200,4,120,"REG-OFF",30.493459734949,16.4368335185621
0,"137",2,5,120,"REG-OFF",19.4374788094462,8.56400456292699
0,"138",10,5,120,"REG-OFF",20.8523340749538,9.84282000627516
0,"139",50,5,120,"REG-OFF",24.1808685905853,12.7721291326076
0,"140",200,5,120,"REG-OFF",25.3868243351995,13.7577257498419
0.49,"141",2,1,240,"REG-OFF",117.620059661635,63.2768606387988
0.655,"142",10,1,240,"REG-OFF",107.867765973902,60.0774886320222
0.79,"143",50,1,240,"REG-OFF",98.022044434795,57.017780602414
0.852,"144",200,1,240,"REG-OFF",93.8856894720761,56.5334359774385
0,"145",2,2,240,"REG-OFF",46.6286217138823,22.6558644164433
0.012,"146",10,2,240,"REG-OFF",57.7431433701731,38.6675240747675
0.151,"147",50,2,240,"REG-OFF",69.7445111450413,50.0197615701743
0.223,"148",200,2,240,"REG-OFF",66.7703254030116,50.5963126577379
0,"149",2,3,240,"REG-OFF",30.2475258957704,13.5098674816769
0,"150",10,3,240,"REG-OFF",33.2778309329035,17.2043927884783
0,"151",50,3,240,"REG-OFF",42.2988684887201,28.9171817902061
0,"152",200,3,240,"REG-OFF",45.4437529323755,32.796110381374
0,"153",2,4,240,"REG-OFF",23.2234957331813,10.2543147278435
0,"154",10,4,240,"REG-OFF",25.7241925441685,12.4067977844216
0,"155",50,4,240,"REG-OFF",29.0296728668727,15.5667722563607
0,"156",200,4,240,"REG-OFF",31.8786071870318,18.8463370018081
0,"157",2,5,240,"REG-OFF",19.5974626376469,8.47566377336885
0,"158",10,5,240,"REG-OFF",21.420341511984,10.2535518118026
0,"159",50,5,240,"REG-OFF",23.0637718059188,12.1219526988782
0,"160",200,5,240,"REG-OFF",24.9934970938461,12.9950820343136
0.309,"161",2,1,480,"REG-OFF",177.01463237921,118.228067509788
0.633,"162",10,1,480,"REG-OFF",133.920286946944,91.8727342421175
0.762,"163",50,1,480,"REG-OFF",112.102266143521,71.6872737059243
0.826,"164",200,1,480,"REG-OFF",102.827162699556,65.7098708049175
0,"165",2,2,480,"REG-OFF",45.7703719866807,22.0446709394918
0,"166",10,2,480,"REG-OFF",58.553715291134,42.6832852940294
0.076,"167",50,2,480,"REG-OFF",82.9127840145053,84.3922757679376
0.192,"168",200,2,480,"REG-OFF",89.1024212008214,92.9553708260952
0,"169",2,3,480,"REG-OFF",29.4339861307615,13.0782200757351
0,"170",10,3,480,"REG-OFF",34.1221167876787,17.4740231498828
0,"171",50,3,480,"REG-OFF",41.4745534953913,29.3124083908787
0,"172",200,3,480,"REG-OFF",45.8216648528713,33.3282133035302
0,"173",2,4,480,"REG-OFF",23.5233609695709,10.2605052053902
0,"174",10,4,480,"REG-OFF",25.7876188481193,12.4998446355368
0,"175",50,4,480,"REG-OFF",29.8295836386648,16.4072071362494
0,"176",200,4,480,"REG-OFF",31.4015652296519,18.8323936032252
0,"177",2,5,480,"REG-OFF",19.9127203915867,8.57192328621857
0,"178",10,5,480,"REG-OFF",20.8197950527793,10.0392644670599
0,"179",50,5,480,"REG-OFF",23.420061506846,12.3992100492513
0,"180",200,5,480,"REG-OFF",24.6671181702129,13.1035581383818
1,"1",2,0,Inf,"REG-BURST",NA,NA
1,"2",10,0,Inf,"REG-BURST",NA,NA
1,"3",50,0,Inf,"REG-BURST",NA,NA
1,"4",200,0,Inf,"REG-BURST",NA,NA
0.993,"5",2,0.5,Inf,"REG-BURST",45.1142811810611,27.1786616385679
0.996,"6",10,0.5,Inf,"REG-BURST",35.4948675087985,33.2737107082103
0.996,"7",50,0.5,Inf,"REG-BURST",32.8975674778652,27.1508167273153
0.998,"8",200,0.5,Inf,"REG-BURST",19.4641027594973,3.16205455964942
0.95,"9",2,0.7,Inf,"REG-BURST",59.468012239928,49.5449469329834
0.98,"10",10,0.7,Inf,"REG-BURST",64.6856531977937,52.2025845327249
0.973,"11",50,0.7,Inf,"REG-BURST",40.2784225282742,27.4570321302789
0.974,"12",200,0.7,Inf,"REG-BURST",50.2938546338537,49.5205337126891
0.716,"13",2,0.9,Inf,"REG-BURST",139.451729174133,114.100324198467
0.788,"14",10,0.9,Inf,"REG-BURST",115.229168819963,84.2727035602367
0.829,"15",50,0.9,Inf,"REG-BURST",108.768506934266,83.9096983549122
0.876,"16",200,0.9,Inf,"REG-BURST",114.978818775986,79.2751683923673
0.219,"17",2,1,Inf,"REG-BURST",237.248246538689,219.056867391166
0.614,"18",10,1,Inf,"REG-BURST",147.384177999107,112.599876030976
