"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","drug.off","extinction.time","extinction.time.sd","num.reps","cell.type"
0,"67",50,3.5,Inf,36.1620690460971,21.0379046044985,1000,"REG-ON"
0,"68",200,3.5,Inf,44.0816781351459,28.2744020239517,1000,"REG-ON"
0,"69",2,4,Inf,25.337929605048,13.0149405330015,1000,"REG-ON"
0,"70",10,4,Inf,27.7928373780974,14.9550756747531,1000,"REG-ON"
0,"71",50,4,Inf,32.4143508645127,17.6077376103489,1000,"REG-ON"
0,"72",200,4,Inf,38.5202914370041,22.7330383355309,1000,"REG-ON"
0,"73",2,4.5,Inf,23.2853396841421,10.8871057743577,1000,"REG-ON"
0,"74",10,4.5,Inf,24.2041061542917,12.5231060844841,1000,"REG-ON"
0,"75",50,4.5,Inf,29.0804355769735,15.502616912128,1000,"REG-ON"
0,"76",200,4.5,Inf,32.2267475098173,18.9748654730856,1000,"REG-ON"
0,"77",2,5,Inf,21.291979666901,10.2697919863936,1000,"REG-ON"
0,"78",10,5,Inf,22.1153843427752,11.127628167726,1000,"REG-ON"
0,"79",50,5,Inf,26.2541791701865,13.7149748190849,1000,"REG-ON"
0,"80",200,5,Inf,30.156396647542,16.6924224453692,1000,"REG-ON"
0,"81",2,6,Inf,18.5844515326548,8.84601127541514,1000,"REG-ON"
0,"82",10,6,Inf,20.553770770862,10.1992080330238,1000,"REG-ON"
0,"83",50,6,Inf,23.1368114102707,12.3795394529797,1000,"REG-ON"
0,"84",200,6,Inf,25.6318142048727,13.5397029671442,1000,"REG-ON"
0,"85",2,7,Inf,17.0895383341305,8.45403027038977,1000,"REG-ON"
0,"86",10,7,Inf,18.5224632987592,9.29420592370587,1000,"REG-ON"
0,"87",50,7,Inf,20.0472273242799,10.4651771812505,1000,"REG-ON"
0,"88",200,7,Inf,21.7701957258817,11.6478552872638,1000,"REG-ON"
0,"89",2,8,Inf,15.5966499464686,7.60143899832075,1000,"REG-ON"
0,"90",10,8,Inf,17.1062660450241,8.57780401952929,1000,"REG-ON"
0,"91",50,8,Inf,18.9563445188583,9.57460704582952,1000,"REG-ON"
0,"92",200,8,Inf,20.3108732634011,10.5516099136284,1000,"REG-ON"
0,"93",2,9,Inf,15.042400439297,7.33118390124705,1000,"REG-ON"
0,"94",10,9,Inf,15.7388324344641,7.58476630867145,1000,"REG-ON"
0,"95",50,9,Inf,17.7102081746586,8.77714056468537,1000,"REG-ON"
0,"96",200,9,Inf,19.1015276176724,10.5126993775235,1000,"REG-ON"
0,"97",2,10,Inf,14.0503684248569,6.52372401491692,1000,"REG-ON"
0,"98",10,10,Inf,14.9477141586373,7.18299940896194,1000,"REG-ON"
0,"99",50,10,Inf,16.2292846618111,8.20779332313336,1000,"REG-ON"
0,"100",200,10,Inf,17.5314191110286,9.49102259769453,1000,"REG-ON"
0.87,"101",2,1,30,25.4278622682675,11.6869859702324,1000,"REG-ON"
0.895,"102",10,1,30,24.5821630756308,11.0512911604134,1000,"REG-ON"
0.933,"103",50,1,30,22.6210120216114,8.12500793304247,1000,"REG-ON"
0.935,"104",200,1,30,21.4567363573912,10.3019411991559,1000,"REG-ON"
0.48,"105",2,2,30,28.5877912831942,13.4759432714108,1000,"REG-ON"
0.551,"106",10,2,30,28.0643582083398,12.4291436072367,1000,"REG-ON"
0.728,"107",50,2,30,26.7414584606196,12.5614292679057,1000,"REG-ON"
0.797,"108",200,2,30,24.8127003012842,11.9034605505818,1000,"REG-ON"
0.176,"109",2,3,30,27.3133666018215,13.6670724545762,1000,"REG-ON"
0.276,"110",10,3,30,27.1166407519151,12.9327266468929,1000,"REG-ON"
0.464,"111",50,3,30,26.568163289705,12.6485507370509,1000,"REG-ON"
0.595,"112",200,3,30,25.6842747967401,11.5960915485764,1000,"REG-ON"
0.036,"113",2,4,30,24.3273867481645,12.3994082610065,1000,"REG-ON"
0.097,"114",10,4,30,24.3283308092372,11.8032777032773,1000,"REG-ON"
0.241,"115",50,4,30,25.325480388778,12.1033252624927,1000,"REG-ON"
0.344,"116",200,4,30,25.6981461969348,11.7327141194656,1000,"REG-ON"
0.017,"117",2,5,30,21.293597273357,10.5305252077376,1000,"REG-ON"
0.038,"118",10,5,30,22.6756191770395,11.6830573688281,1000,"REG-ON"
0.112,"119",50,5,30,23.7211142940939,11.8899842615433,1000,"REG-ON"
0.207,"120",200,5,30,24.3388865940655,11.9365083829415,1000,"REG-ON"
0.729,"121",2,1,60,40.4226135857608,20.0295337354807,1000,"REG-ON"
0.784,"122",10,1,60,39.2442544433748,19.848801320071,1000,"REG-ON"
0.91,"123",50,1,60,35.3058931867891,18.8115251621303,1000,"REG-ON"
0.924,"124",200,1,60,27.5524795255091,15.6525536733086,1000,"REG-ON"
0.115,"125",2,2,60,39.9003277507039,19.5546535498563,1000,"REG-ON"
0.217,"126",10,2,60,40.8771411047212,19.2050733655548,1000,"REG-ON"
0.454,"127",50,2,60,41.3609450245279,19.2899712509864,1000,"REG-ON"
0.593,"128",200,2,60,39.2606009930294,18.2596427239979,1000,"REG-ON"
0.007,"129",2,3,60,31.666038436742,15.7614569943968,1000,"REG-ON"
0.023,"130",10,3,60,32.3408835197671,16.1867949415154,1000,"REG-ON"
0.129,"131",50,3,60,37.2113641506961,17.8391746086267,1000,"REG-ON"
0.253,"132",200,3,60,37.9625627297398,19.4466007142307,1000,"REG-ON"
0.001,"133",2,4,60,25.1246708722103,13.0153124403933,1000,"REG-ON"
0.005,"134",10,4,60,26.9282875526144,13.7889127666631,1000,"REG-ON"
0.038,"135",50,4,60,30.7024068501342,16.4056881164336,1000,"REG-ON"
0.062,"136",200,4,60,33.592824017083,17.4110749042302,1000,"REG-ON"
0,"137",2,5,60,21.3868209933794,10.5288901124375,1000,"REG-ON"
0,"138",10,5,60,22.4644071314636,11.5016186687986,1000,"REG-ON"
0.004,"139",50,5,60,27.0075194129701,14.7846063897943,1000,"REG-ON"
0.018,"140",200,5,60,28.9759951868128,15.5033389694154,1000,"REG-ON"
0.549,"141",2,1,120,68.0805489202544,36.2717355058358,1000,"REG-ON"
0.697,"142",10,1,120,66.4500815257816,36.0033463276033,1000,"REG-ON"
0.867,"143",50,1,120,49.4854854396306,33.8925575098276,1000,"REG-ON"
0.928,"144",200,1,120,36.8226482242062,25.1679116655363,1000,"REG-ON"
0.004,"145",2,2,120,47.1656252198092,25.2910309655196,1000,"REG-ON"
0.02,"146",10,2,120,51.6293468127366,29.4977032095876,1000,"REG-ON"
0.168,"147",50,2,120,61.3372897929212,34.4438531525229,1000,"REG-ON"
0.354,"148",200,2,120,60.709496832398,33.043008854329,1000,"REG-ON"
0,"149",2,3,120,30.7644585749416,15.7814440410578,1000,"REG-ON"
0.001,"150",10,3,120,34.4289416962182,18.4470775301581,1000,"REG-ON"
0.008,"151",50,3,120,42.757783794383,25.3218445799156,1000,"REG-ON"
0.042,"152",200,3,120,50.7287871889428,30.3889934615613,1000,"REG-ON"
0,"153",2,4,120,24.3216553149655,12.5752582761171,1000,"REG-ON"
0,"154",10,4,120,26.6809950808389,14.1818312124147,1000,"REG-ON"
0.001,"155",50,4,120,32.5438102953555,18.1806269681175,1000,"REG-ON"
0,"156",200,4,120,38.2211625862377,22.9548495515916,1000,"REG-ON"
0,"157",2,5,120,21.3908143817642,10.749978287938,1000,"REG-ON"
0,"158",10,5,120,22.7703961516333,11.9665127816639,1000,"REG-ON"
0,"159",50,5,120,26.5686155553643,14.524799770444,1000,"REG-ON"
0,"160",200,5,120,30.5303829625618,17.4211861153179,1000,"REG-ON"
0.263,"161",2,1,240,109.256611277435,66.6066074455187,1000,"REG-ON"
0.556,"162",10,1,240,101.372072084079,67.4564893741694,1000,"REG-ON"
0.853,"163",50,1,240,61.0797670813164,48.1440598779324,1000,"REG-ON"
0.904,"164",200,1,240,42.2369566187438,35.1302537067583,1000,"REG-ON"
0,"165",2,2,240,47.0514489605502,26.757117932434,1000,"REG-ON"
0,"166",10,2,240,54.3474818360076,33.6998717178847,1000,"REG-ON"
0.028,"167",50,2,240,76.546148233695,52.3192881479262,1000,"REG-ON"
0.165,"168",200,2,240,93.6276678828175,64.9517441564263,1000,"REG-ON"
0,"169",2,3,240,30.716700868464,17.1554438876148,1000,"REG-ON"
0,"170",10,3,240,34.6546310340772,18.7726952054172,1000,"REG-ON"
0,"171",50,3,240,43.7028262425472,27.6592854498241,1000,"REG-ON"
0.004,"172",200,3,240,53.4377532012905,35.3674992606045,1000,"REG-ON"
0,"173",2,4,240,24.9003982268686,12.6843416455546,1000,"REG-ON"
0,"174",10,4,240,27.4153311241945,14.3770484859265,1000,"REG-ON"
0,"175",50,4,240,32.246882362019,17.2304374284475,1000,"REG-ON"
0,"176",200,4,240,37.6663927516296,23.2054940771273,1000,"REG-ON"
0,"177",2,5,240,21.0950499909835,10.6698964635121,1000,"REG-ON"
0,"178",10,5,240,22.6181330196919,11.5266644355185,1000,"REG-ON"
0,"179",50,5,240,25.9507600332051,13.9971649312425,1000,"REG-ON"
0,"180",200,5,240,29.4587631059221,16.7122860047395,1000,"REG-ON"
0.106,"181",2,1,480,154.99369641704,116.148021450302,1000,"REG-ON"
0.505,"182",10,1,480,123.521431294775,105.151479511225,1000,"REG-ON"
0.849,"183",50,1,480,58.0696756829723,47.3417360035095,1000,"REG-ON"
0.918,"184",200,1,480,44.6436545466897,41.432352091449,1000,"REG-ON"
0,"185",2,2,480,47.0556528959592,26.2684126731676,1000,"REG-ON"
0,"186",10,2,480,54.8453363844168,33.4864055673117,1000,"REG-ON"
0,"187",50,2,480,83.5087816313802,64.669494793149,1000,"REG-ON"
0.038,"188",200,2,480,124.495070726882,103.629085616172,1000,"REG-ON"
0,"189",2,3,480,32.1556942648533,16.5838356403669,1000,"REG-ON"
0,"190",10,3,480,34.2191375464522,18.8601350525251,1000,"REG-ON"
0,"191",50,3,480,43.1485467162226,25.4799187556614,1000,"REG-ON"
0,"192",200,3,480,55.653519968997,36.1075756111667,1000,"REG-ON"
0,"193",2,4,480,24.6144122447377,12.3098908195525,1000,"REG-ON"
0,"194",10,4,480,26.6774474968317,14.6067659895847,1000,"REG-ON"
0,"195",50,4,480,32.1811089302309,17.8514649668214,1000,"REG-ON"
0,"196",200,4,480,37.1770446618412,22.1105745049011,1000,"REG-ON"
0,"197",2,5,480,21.0552095388912,9.96168361142455,1000,"REG-ON"
0,"198",10,5,480,23.1622686908731,12.0400539412706,1000,"REG-ON"
0,"199",50,5,480,26.2160703381847,14.3349284623332,1000,"REG-ON"
0,"200",200,5,480,29.6178507493554,17.7987213849836,1000,"REG-ON"
1,"1",2,0,Inf,NA,NA,1000,"REG-OFF"
1,"2",10,0,Inf,NA,NA,1000,"REG-OFF"
1,"3",50,0,Inf,NA,NA,1000,"REG-OFF"
1,"4",200,0,Inf,NA,NA,1000,"REG-OFF"
0.96,"5",2,0.5,Inf,40.1500516474011,30.3347161635007,1000,"REG-OFF"
0.968,"6",10,0.5,Inf,29.4901090497646,22.4835932422567,1000,"REG-OFF"
0.969,"7",50,0.5,Inf,38.9867575683653,30.0329395635476,1000,"REG-OFF"
0.983,"8",200,0.5,Inf,35.7728818847765,25.3201329763959,1000,"REG-OFF"
0.831,"9",2,0.7,Inf,77.1850977418946,58.0706184900825,1000,"REG-OFF"
0.877,"10",10,0.7,Inf,78.3144774554304,68.7311361538698,1000,"REG-OFF"
0.906,"11",50,0.7,Inf,62.2398802317967,45.4515687512343,1000,"REG-OFF"
0.924,"12",200,0.7,Inf,60.1255660543057,51.3496702532637,1000,"REG-OFF"
0.268,"13",2,0.9,Inf,220.568128685546,214.674304791125,1000,"REG-OFF"
0.595,"14",10,0.9,Inf,114.940626893328,92.9625699999273,1000,"REG-OFF"
0.733,"15",50,0.9,Inf,87.730943112245,73.5212935301262,1000,"REG-OFF"
0.784,"16",200,0.9,Inf,97.7067328442078,91.2089217707185,1000,"REG-OFF"
0.012,"17",2,1,Inf,213.496931703942,213.876660179726,1000,"REG-OFF"
0.38,"18",10,1,Inf,149.413783542505,131.707104860169,1000,"REG-OFF"
0.613,"19",50,1,Inf,101.875168280451,85.5751050084693,1000,"REG-OFF"
0.695,"20",200,1,Inf,89.546241495726,77.5290193579103,1000,"REG-OFF"
0,"21",2,1.1,Inf,144.275240685181,117.951754927228,1000,"REG-OFF"
0.211,"22",10,1.1,Inf,134.437847258025,133.479667659104,1000,"REG-OFF"
0.49,"23",50,1.1,Inf,96.6787872163316,75.2277772337816,1000,"REG-OFF"
0.619,"24",200,1.1,Inf,75.560153250154,58.5096398410028,1000,"REG-OFF"
0,"25",2,1.2,Inf,105.895249886273,75.7923992772186,1000,"REG-OFF"
0.101,"26",10,1.2,Inf,136.075619589548,137.253658642402,1000,"REG-OFF"
0.451,"27",50,1.2,Inf,97.123810412594,73.6206044933784,1000,"REG-OFF"
0.585,"28",200,1.2,Inf,79.3803639465912,58.17012011708,1000,"REG-OFF"
0,"29",2,1.3,Inf,89.2929733072707,58.1166786266923,1000,"REG-OFF"
0.031,"30",10,1.3,Inf,142.086177252216,165.872503374361,1000,"REG-OFF"
0.415,"31",50,1.3,Inf,87.9240304704621,73.9041133010547,1000,"REG-OFF"
0.522,"32",200,1.3,Inf,74.9693110208353,60.2408909542929,1000,"REG-OFF"
0,"33",2,1.4,Inf,74.530259458722,50.0754908791017,1000,"REG-OFF"
0.007,"34",10,1.4,Inf,119.494082385537,140.384704664693,1000,"REG-OFF"
0.35,"35",50,1.4,Inf,83.8660266971718,63.6333727627774,1000,"REG-OFF"
0.488,"36",200,1.4,Inf,73.6521707889623,57.901655763483,1000,"REG-OFF"
0,"37",2,1.5,Inf,69.7197412890601,43.0772380946142,1000,"REG-OFF"
0,"38",10,1.5,Inf,97.724790303124,105.68542402008,1000,"REG-OFF"
0.267,"39",50,1.5,Inf,86.6562753715824,82.5952031575982,1000,"REG-OFF"
0.387,"40",200,1.5,Inf,73.9382025914064,60.3116955192216,1000,"REG-OFF"
0,"41",2,1.75,Inf,54.389348916189,31.9853656424612,1000,"REG-OFF"
0,"42",10,1.75,Inf,71.2619553814938,60.7352809490886,1000,"REG-OFF"
0.078,"43",50,1.75,Inf,118.586101572655,157.602094846292,1000,"REG-OFF"
0.216,"44",200,1.75,Inf,101.843369499232,123.072197942289,1000,"REG-OFF"
0,"45",2,2,Inf,45.9511249809482,25.9046833841956,1000,"REG-OFF"
0,"46",10,2,Inf,55.4146210670406,45.9158307229554,1000,"REG-OFF"
0.001,"47",50,2,Inf,97.7915367945267,131.041537954165,1000,"REG-OFF"
0.012,"48",200,2,Inf,121.264504425913,172.543818189229,1000,"REG-OFF"
0,"49",2,2.25,Inf,40.9295206311374,22.132747297973,1000,"REG-OFF"
0,"50",10,2.25,Inf,48.126114235849,33.4550677408172,1000,"REG-OFF"
0,"51",50,2.25,Inf,68.629068726608,66.9696245990844,1000,"REG-OFF"
0,"52",200,2.25,Inf,85.1100000654547,93.1726733588409,1000,"REG-OFF"
0,"53",2,2.5,Inf,36.736582100835,19.6938798793145,1000,"REG-OFF"
0,"54",10,2.5,Inf,41.9568286893888,27.3461935079742,1000,"REG-OFF"
0,"55",50,2.5,Inf,57.3993973820712,50.1812477935452,1000,"REG-OFF"
0,"56",200,2.5,Inf,63.5368352306596,66.4095855542835,1000,"REG-OFF"
0,"57",2,2.75,Inf,34.0626742835034,17.2437947265873,1000,"REG-OFF"
0,"58",10,2.75,Inf,39.5157538813787,24.928050287342,1000,"REG-OFF"
0,"59",50,2.75,Inf,48.9854310734432,38.345481036613,1000,"REG-OFF"
0,"60",200,2.75,Inf,53.2902872369962,45.9167834296151,1000,"REG-OFF"
0,"61",2,3,Inf,31.4217953908647,16.5240375315986,1000,"REG-OFF"
0,"62",10,3,Inf,35.4593298196303,20.5352225646613,1000,"REG-OFF"
0,"63",50,3,Inf,41.5166507515583,30.1865669480448,1000,"REG-OFF"
0,"64",200,3,Inf,47.8160614353343,36.8034397002753,1000,"REG-OFF"
0,"65",2,3.5,Inf,26.9015382798793,13.3379227529122,1000,"REG-OFF"
0,"66",10,3.5,Inf,29.9905600423077,17.1185212584226,1000,"REG-OFF"
0,"67",50,3.5,Inf,35.2937895786353,22.3765415858511,1000,"REG-OFF"
0,"68",200,3.5,Inf,38.2885050791761,26.0891889897819,1000,"REG-OFF"
0,"69",2,4,Inf,24.1227256592839,12.4263387639648,1000,"REG-OFF"
0,"70",10,4,Inf,27.1084616705819,14.2081351399863,1000,"REG-OFF"
0,"71",50,4,Inf,31.9629894152711,20.3429737244488,1000,"REG-OFF"
0,"72",200,4,Inf,33.1069382320613,21.4531467554939,1000,"REG-OFF"
0,"73",2,4.5,Inf,22.5933768267139,11.3325522804611,1000,"REG-OFF"
0,"74",10,4.5,Inf,24.8894748166325,13.8112835328029,1000,"REG-OFF"
0,"75",50,4.5,Inf,28.1542665592894,17.9625430923066,1000,"REG-OFF"
0,"76",200,4.5,Inf,28.8298060054249,18.8494727783045,1000,"REG-OFF"
0,"77",2,5,Inf,21.2609696131295,10.3749514689026,1000,"REG-OFF"
0,"78",10,5,Inf,23.0717884190971,12.757382890775,1000,"REG-OFF"
0,"79",50,5,Inf,25.5436750892614,14.6169862158257,1000,"REG-OFF"
0,"80",200,5,Inf,26.5405645475192,16.7805384713384,1000,"REG-OFF"
0,"81",2,6,Inf,18.5798133307963,9.15488961643045,1000,"REG-OFF"
0,"82",10,6,Inf,20.9944791031319,11.3102363123441,1000,"REG-OFF"
0,"83",50,6,Inf,22.0746842614544,12.2825832446746,1000,"REG-OFF"
0,"84",200,6,Inf,22.2112834273959,12.6842882965879,1000,"REG-OFF"
0,"85",2,7,Inf,17.149020532993,8.02550424359573,1000,"REG-OFF"
0,"86",10,7,Inf,18.763365598308,9.98136086407615,1000,"REG-OFF"
0,"87",50,7,Inf,19.8380366404351,10.9570352912001,1000,"REG-OFF"
0,"88",200,7,Inf,20.8309810157023,11.69002132329,1000,"REG-OFF"
0,"89",2,8,Inf,16.4212196129878,7.71070974545245,1000,"REG-OFF"
0,"90",10,8,Inf,16.630580685044,8.08464178216932,1000,"REG-OFF"
0,"91",50,8,Inf,18.3311669264697,9.58618343162103,1000,"REG-OFF"
0,"92",200,8,Inf,19.2111234956691,11.1866600349218,1000,"REG-OFF"
0,"93",2,9,Inf,15.2165026866051,7.01833317022419,1000,"REG-OFF"
0,"94",10,9,Inf,15.6670404962697,8.08731682913987,1000,"REG-OFF"
0,"95",50,9,Inf,16.4717905585655,8.26154987841247,1000,"REG-OFF"
0,"96",200,9,Inf,18.2281378561853,10.2842929572139,1000,"REG-OFF"
0,"97",2,10,Inf,14.4392309705347,6.7354061374826,1000,"REG-OFF"
0,"98",10,10,Inf,14.7082224025234,7.01668614325742,1000,"REG-OFF"
0,"99",50,10,Inf,16.0918508463219,8.52733413211674,1000,"REG-OFF"
0,"100",200,10,Inf,16.1642464420507,8.38172414503108,1000,"REG-OFF"
0.879,"101",2,1,30,24.9638591849266,11.9931021199196,1000,"REG-OFF"
