"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
30,29916,"7",50,0.125892541179417,"REG-ON"
40,29845,"7",50,0.125892541179417,"REG-ON"
50,57858,"7",50,0.125892541179417,"REG-ON"
60,59351,"7",50,0.125892541179417,"REG-ON"
70,77120,"7",50,0.125892541179417,"REG-ON"
80,117812,"7",50,0.125892541179417,"REG-ON"
90,120019,"7",50,0.125892541179417,"REG-ON"
100,232289,"7",50,0.125892541179417,"REG-ON"
110,233064,"7",50,0.125892541179417,"REG-ON"
120,400156,"7",50,0.125892541179417,"REG-ON"
130,461856,"7",50,0.125892541179417,"REG-ON"
140,568192,"7",50,0.125892541179417,"REG-ON"
150,914578,"7",50,0.125892541179417,"REG-ON"
160,942310,"7",50,0.125892541179417,"REG-ON"
170,1735659,"7",50,0.125892541179417,"REG-ON"
180,1813955,"7",50,0.125892541179417,"REG-ON"
0,15000,"8",200,0.125892541179417,"REG-ON"
10,14997,"8",200,0.125892541179417,"REG-ON"
20,15000,"8",200,0.125892541179417,"REG-ON"
30,29931,"8",200,0.125892541179417,"REG-ON"
40,29885,"8",200,0.125892541179417,"REG-ON"
50,57868,"8",200,0.125892541179417,"REG-ON"
60,59436,"8",200,0.125892541179417,"REG-ON"
70,77566,"8",200,0.125892541179417,"REG-ON"
80,118243,"8",200,0.125892541179417,"REG-ON"
90,120692,"8",200,0.125892541179417,"REG-ON"
100,233656,"8",200,0.125892541179417,"REG-ON"
110,234669,"8",200,0.125892541179417,"REG-ON"
120,403699,"8",200,0.125892541179417,"REG-ON"
130,466097,"8",200,0.125892541179417,"REG-ON"
140,574033,"8",200,0.125892541179417,"REG-ON"
150,924981,"8",200,0.125892541179417,"REG-ON"
160,953721,"8",200,0.125892541179417,"REG-ON"
170,1759537,"8",200,0.125892541179417,"REG-ON"
180,1839823,"8",200,0.125892541179417,"REG-ON"
0,20000,"9",2,0.158489319246111,"REG-ON"
10,19996,"9",2,0.158489319246111,"REG-ON"
20,19984,"9",2,0.158489319246111,"REG-ON"
30,39773,"9",2,0.158489319246111,"REG-ON"
40,39539,"9",2,0.158489319246111,"REG-ON"
50,76157,"9",2,0.158489319246111,"REG-ON"
60,77770,"9",2,0.158489319246111,"REG-ON"
70,100584,"9",2,0.158489319246111,"REG-ON"
80,152274,"9",2,0.158489319246111,"REG-ON"
90,154105,"9",2,0.158489319246111,"REG-ON"
100,295802,"9",2,0.158489319246111,"REG-ON"
110,294542,"9",2,0.158489319246111,"REG-ON"
120,501836,"9",2,0.158489319246111,"REG-ON"
130,574280,"9",2,0.158489319246111,"REG-ON"
140,700750,"9",2,0.158489319246111,"REG-ON"
150,1117987,"9",2,0.158489319246111,"REG-ON"
160,1141784,"9",2,0.158489319246111,"REG-ON"
170,2085800,"9",2,0.158489319246111,"REG-ON"
180,2160005,"9",2,0.158489319246111,"REG-ON"
0,16000,"10",10,0.158489319246111,"REG-ON"
10,15996,"10",10,0.158489319246111,"REG-ON"
20,15988,"10",10,0.158489319246111,"REG-ON"
30,31850,"10",10,0.158489319246111,"REG-ON"
40,31694,"10",10,0.158489319246111,"REG-ON"
50,61196,"10",10,0.158489319246111,"REG-ON"
60,62554,"10",10,0.158489319246111,"REG-ON"
70,80708,"10",10,0.158489319246111,"REG-ON"
80,123025,"10",10,0.158489319246111,"REG-ON"
90,124660,"10",10,0.158489319246111,"REG-ON"
100,239751,"10",10,0.158489319246111,"REG-ON"
110,239430,"10",10,0.158489319246111,"REG-ON"
120,407850,"10",10,0.158489319246111,"REG-ON"
130,469247,"10",10,0.158489319246111,"REG-ON"
140,572589,"10",10,0.158489319246111,"REG-ON"
150,918295,"10",10,0.158489319246111,"REG-ON"
160,940434,"10",10,0.158489319246111,"REG-ON"
170,1720929,"10",10,0.158489319246111,"REG-ON"
180,1789100,"10",10,0.158489319246111,"REG-ON"
0,15000,"11",50,0.158489319246111,"REG-ON"
10,14993,"11",50,0.158489319246111,"REG-ON"
20,14988,"11",50,0.158489319246111,"REG-ON"
30,29869,"11",50,0.158489319246111,"REG-ON"
40,29792,"11",50,0.158489319246111,"REG-ON"
50,57638,"11",50,0.158489319246111,"REG-ON"
60,59099,"11",50,0.158489319246111,"REG-ON"
70,76697,"11",50,0.158489319246111,"REG-ON"
80,116948,"11",50,0.158489319246111,"REG-ON"
90,119079,"11",50,0.158489319246111,"REG-ON"
100,229763,"11",50,0.158489319246111,"REG-ON"
110,230164,"11",50,0.158489319246111,"REG-ON"
120,394117,"11",50,0.158489319246111,"REG-ON"
130,454420,"11",50,0.158489319246111,"REG-ON"
140,556823,"11",50,0.158489319246111,"REG-ON"
150,896339,"11",50,0.158489319246111,"REG-ON"
160,921053,"11",50,0.158489319246111,"REG-ON"
170,1693730,"11",50,0.158489319246111,"REG-ON"
180,1766664,"11",50,0.158489319246111,"REG-ON"
0,15000,"12",200,0.158489319246111,"REG-ON"
