"sample.time","num.cells","parameter.index","kappa","MIC.fraction","drug.outsideConcentration.MULT","cell.type"
30,198940,"17",2,0.3185616,0.199526231496888,"WT"
40,198149,"17",2,0.3185616,0.199526231496888,"WT"
50,393240,"17",2,0.3185616,0.199526231496888,"WT"
60,390558,"17",2,0.3185616,0.199526231496888,"WT"
0,100000,"18",5,0.3003958,0.199526231496888,"WT"
10,100000,"18",5,0.3003958,0.199526231496888,"WT"
20,101305,"18",5,0.3003958,0.199526231496888,"WT"
30,200000,"18",5,0.3003958,0.199526231496888,"WT"
40,200152,"18",5,0.3003958,0.199526231496888,"WT"
50,399810,"18",5,0.3003958,0.199526231496888,"WT"
60,399987,"18",5,0.3003958,0.199526231496888,"WT"
0,100000,"19",10,0.2956701,0.199526231496888,"WT"
10,100000,"19",10,0.2956701,0.199526231496888,"WT"
20,101335,"19",10,0.2956701,0.199526231496888,"WT"
30,200000,"19",10,0.2956701,0.199526231496888,"WT"
40,200198,"19",10,0.2956701,0.199526231496888,"WT"
50,399830,"19",10,0.2956701,0.199526231496888,"WT"
60,400019,"19",10,0.2956701,0.199526231496888,"WT"
0,100000,"20",20,0.28002,0.199526231496888,"WT"
10,100000,"20",20,0.28002,0.199526231496888,"WT"
20,101370,"20",20,0.28002,0.199526231496888,"WT"
30,200000,"20",20,0.28002,0.199526231496888,"WT"
40,200160,"20",20,0.28002,0.199526231496888,"WT"
50,399810,"20",20,0.28002,0.199526231496888,"WT"
60,400028,"20",20,0.28002,0.199526231496888,"WT"
0,100000,"21",1,0.349697,0.251188643150958,"WT"
10,99287,"21",1,0.349697,0.251188643150958,"WT"
20,98724,"21",1,0.349697,0.251188643150958,"WT"
30,189575,"21",1,0.349697,0.251188643150958,"WT"
40,183487,"21",1,0.349697,0.251188643150958,"WT"
50,351727,"21",1,0.349697,0.251188643150958,"WT"
60,337098,"21",1,0.349697,0.251188643150958,"WT"
0,100000,"22",2,0.3185616,0.251188643150958,"WT"
10,99967,"22",2,0.3185616,0.251188643150958,"WT"
20,101038,"22",2,0.3185616,0.251188643150958,"WT"
30,198426,"22",2,0.3185616,0.251188643150958,"WT"
40,197083,"22",2,0.3185616,0.251188643150958,"WT"
50,389579,"22",2,0.3185616,0.251188643150958,"WT"
60,385091,"22",2,0.3185616,0.251188643150958,"WT"
0,100000,"23",5,0.3003958,0.251188643150958,"WT"
10,100000,"23",5,0.3003958,0.251188643150958,"WT"
20,101339,"23",5,0.3003958,0.251188643150958,"WT"
30,199997,"23",5,0.3003958,0.251188643150958,"WT"
40,200176,"23",5,0.3003958,0.251188643150958,"WT"
50,399777,"23",5,0.3003958,0.251188643150958,"WT"
60,399914,"23",5,0.3003958,0.251188643150958,"WT"
0,100000,"24",10,0.2956701,0.251188643150958,"WT"
10,100000,"24",10,0.2956701,0.251188643150958,"WT"
20,101259,"24",10,0.2956701,0.251188643150958,"WT"
30,200000,"24",10,0.2956701,0.251188643150958,"WT"
40,200179,"24",10,0.2956701,0.251188643150958,"WT"
50,399818,"24",10,0.2956701,0.251188643150958,"WT"
60,400025,"24",10,0.2956701,0.251188643150958,"WT"
0,100000,"25",20,0.28002,0.251188643150958,"WT"
10,100000,"25",20,0.28002,0.251188643150958,"WT"
20,101328,"25",20,0.28002,0.251188643150958,"WT"
30,200000,"25",20,0.28002,0.251188643150958,"WT"
40,200170,"25",20,0.28002,0.251188643150958,"WT"
50,399844,"25",20,0.28002,0.251188643150958,"WT"
60,400030,"25",20,0.28002,0.251188643150958,"WT"
0,100000,"26",1,0.349697,0.316227766016838,"WT"
10,99089,"26",1,0.349697,0.316227766016838,"WT"
20,97974,"26",1,0.349697,0.316227766016838,"WT"
30,186603,"26",1,0.349697,0.316227766016838,"WT"
40,178918,"26",1,0.349697,0.316227766016838,"WT"
50,339265,"26",1,0.349697,0.316227766016838,"WT"
60,321462,"26",1,0.349697,0.316227766016838,"WT"
0,100000,"27",2,0.3185616,0.316227766016838,"WT"
10,99932,"27",2,0.3185616,0.316227766016838,"WT"
20,100778,"27",2,0.3185616,0.316227766016838,"WT"
30,197367,"27",2,0.3185616,0.316227766016838,"WT"
40,195071,"27",2,0.3185616,0.316227766016838,"WT"
50,383123,"27",2,0.3185616,0.316227766016838,"WT"
60,376219,"27",2,0.3185616,0.316227766016838,"WT"
0,100000,"28",5,0.3003958,0.316227766016838,"WT"
10,100000,"28",5,0.3003958,0.316227766016838,"WT"
20,101284,"28",5,0.3003958,0.316227766016838,"WT"
30,199985,"28",5,0.3003958,0.316227766016838,"WT"
40,200114,"28",5,0.3003958,0.316227766016838,"WT"
50,399633,"28",5,0.3003958,0.316227766016838,"WT"
60,399675,"28",5,0.3003958,0.316227766016838,"WT"
0,100000,"29",10,0.2956701,0.316227766016838,"WT"
10,100000,"29",10,0.2956701,0.316227766016838,"WT"
20,101298,"29",10,0.2956701,0.316227766016838,"WT"
30,200000,"29",10,0.2956701,0.316227766016838,"WT"
40,200161,"29",10,0.2956701,0.316227766016838,"WT"
50,399828,"29",10,0.2956701,0.316227766016838,"WT"
60,400026,"29",10,0.2956701,0.316227766016838,"WT"
0,100000,"30",20,0.28002,0.316227766016838,"WT"
10,100000,"30",20,0.28002,0.316227766016838,"WT"
20,101291,"30",20,0.28002,0.316227766016838,"WT"
30,200000,"30",20,0.28002,0.316227766016838,"WT"
40,200172,"30",20,0.28002,0.316227766016838,"WT"
50,399834,"30",20,0.28002,0.316227766016838,"WT"
60,400024,"30",20,0.28002,0.316227766016838,"WT"
0,100000,"31",1,0.349697,0.398107170553497,"WT"
10,98863,"31",1,0.349697,0.398107170553497,"WT"
20,97212,"31",1,0.349697,0.398107170553497,"WT"
30,183355,"31",1,0.349697,0.398107170553497,"WT"
40,173606,"31",1,0.349697,0.398107170553497,"WT"
50,324227,"31",1,0.349697,0.398107170553497,"WT"
60,302779,"31",1,0.349697,0.398107170553497,"WT"
0,100000,"32",2,0.3185616,0.398107170553497,"WT"
10,99887,"32",2,0.3185616,0.398107170553497,"WT"
20,100525,"32",2,0.3185616,0.398107170553497,"WT"
30,195876,"32",2,0.3185616,0.398107170553497,"WT"
40,192359,"32",2,0.3185616,0.398107170553497,"WT"
50,374391,"32",2,0.3185616,0.398107170553497,"WT"
60,363877,"32",2,0.3185616,0.398107170553497,"WT"
0,100000,"33",5,0.3003958,0.398107170553497,"WT"
10,100000,"33",5,0.3003958,0.398107170553497,"WT"
20,101321,"33",5,0.3003958,0.398107170553497,"WT"
30,199974,"33",5,0.3003958,0.398107170553497,"WT"
40,200083,"33",5,0.3003958,0.398107170553497,"WT"
50,399268,"33",5,0.3003958,0.398107170553497,"WT"
60,398976,"33",5,0.3003958,0.398107170553497,"WT"
0,100000,"34",10,0.2956701,0.398107170553497,"WT"
10,100000,"34",10,0.2956701,0.398107170553497,"WT"
20,101305,"34",10,0.2956701,0.398107170553497,"WT"
30,200000,"34",10,0.2956701,0.398107170553497,"WT"
40,200172,"34",10,0.2956701,0.398107170553497,"WT"
50,399832,"34",10,0.2956701,0.398107170553497,"WT"
60,400020,"34",10,0.2956701,0.398107170553497,"WT"
0,100000,"35",20,0.28002,0.398107170553497,"WT"
10,100000,"35",20,0.28002,0.398107170553497,"WT"
20,101196,"35",20,0.28002,0.398107170553497,"WT"
30,200000,"35",20,0.28002,0.398107170553497,"WT"
40,200174,"35",20,0.28002,0.398107170553497,"WT"
50,399850,"35",20,0.28002,0.398107170553497,"WT"
60,400026,"35",20,0.28002,0.398107170553497,"WT"
0,100000,"36",1,0.349697,0.501187233627272,"WT"
10,98654,"36",1,0.349697,0.501187233627272,"WT"
20,96107,"36",1,0.349697,0.501187233627272,"WT"
30,179180,"36",1,0.349697,0.501187233627272,"WT"
40,167161,"36",1,0.349697,0.501187233627272,"WT"
50,306832,"36",1,0.349697,0.501187233627272,"WT"
60,281020,"36",1,0.349697,0.501187233627272,"WT"
0,100000,"37",2,0.3185616,0.501187233627272,"WT"
10,99835,"37",2,0.3185616,0.501187233627272,"WT"
20,100038,"37",2,0.3185616,0.501187233627272,"WT"
30,193609,"37",2,0.3185616,0.501187233627272,"WT"
40,188112,"37",2,0.3185616,0.501187233627272,"WT"
50,360277,"37",2,0.3185616,0.501187233627272,"WT"
60,344214,"37",2,0.3185616,0.501187233627272,"WT"
0,100000,"38",5,0.3003958,0.501187233627272,"WT"
10,100000,"38",5,0.3003958,0.501187233627272,"WT"
20,101298,"38",5,0.3003958,0.501187233627272,"WT"
30,199883,"38",5,0.3003958,0.501187233627272,"WT"
40,199797,"38",5,0.3003958,0.501187233627272,"WT"
50,397982,"38",5,0.3003958,0.501187233627272,"WT"
60,396682,"38",5,0.3003958,0.501187233627272,"WT"
0,100000,"39",10,0.2956701,0.501187233627272,"WT"
10,100000,"39",10,0.2956701,0.501187233627272,"WT"
20,101293,"39",10,0.2956701,0.501187233627272,"WT"
30,200000,"39",10,0.2956701,0.501187233627272,"WT"
40,200163,"39",10,0.2956701,0.501187233627272,"WT"
50,399799,"39",10,0.2956701,0.501187233627272,"WT"
60,400004,"39",10,0.2956701,0.501187233627272,"WT"
0,100000,"40",20,0.28002,0.501187233627272,"WT"
10,100000,"40",20,0.28002,0.501187233627272,"WT"
20,101363,"40",20,0.28002,0.501187233627272,"WT"
30,200000,"40",20,0.28002,0.501187233627272,"WT"
40,200173,"40",20,0.28002,0.501187233627272,"WT"
50,399832,"40",20,0.28002,0.501187233627272,"WT"
60,400015,"40",20,0.28002,0.501187233627272,"WT"
0,100000,"41",1,0.349697,0.630957344480193,"WT"
10,98240,"41",1,0.349697,0.630957344480193,"WT"
20,94784,"41",1,0.349697,0.630957344480193,"WT"
30,173920,"41",1,0.349697,0.630957344480193,"WT"
40,159026,"41",1,0.349697,0.630957344480193,"WT"
50,285167,"41",1,0.349697,0.630957344480193,"WT"
60,254544,"41",1,0.349697,0.630957344480193,"WT"
0,100000,"42",2,0.3185616,0.630957344480193,"WT"
10,99692,"42",2,0.3185616,0.630957344480193,"WT"
20,99484,"42",2,0.3185616,0.630957344480193,"WT"
30,189985,"42",2,0.3185616,0.630957344480193,"WT"
40,181098,"42",2,0.3185616,0.630957344480193,"WT"
50,338527,"42",2,0.3185616,0.630957344480193,"WT"
60,315081,"42",2,0.3185616,0.630957344480193,"WT"
0,100000,"43",5,0.3003958,0.630957344480193,"WT"
10,100000,"43",5,0.3003958,0.630957344480193,"WT"
20,101252,"43",5,0.3003958,0.630957344480193,"WT"
30,199616,"43",5,0.3003958,0.630957344480193,"WT"
40,198925,"43",5,0.3003958,0.630957344480193,"WT"
50,393757,"43",5,0.3003958,0.630957344480193,"WT"
60,389454,"43",5,0.3003958,0.630957344480193,"WT"
0,100000,"44",10,0.2956701,0.630957344480193,"WT"
10,100000,"44",10,0.2956701,0.630957344480193,"WT"
20,101313,"44",10,0.2956701,0.630957344480193,"WT"
30,199999,"44",10,0.2956701,0.630957344480193,"WT"
40,200165,"44",10,0.2956701,0.630957344480193,"WT"
50,399693,"44",10,0.2956701,0.630957344480193,"WT"
60,399711,"44",10,0.2956701,0.630957344480193,"WT"
0,100000,"45",20,0.28002,0.630957344480193,"WT"
10,100000,"45",20,0.28002,0.630957344480193,"WT"
20,101252,"45",20,0.28002,0.630957344480193,"WT"
30,200000,"45",20,0.28002,0.630957344480193,"WT"
40,200144,"45",20,0.28002,0.630957344480193,"WT"
50,399825,"45",20,0.28002,0.630957344480193,"WT"
60,400026,"45",20,0.28002,0.630957344480193,"WT"
0,100000,"46",1,0.349697,0.794328234724281,"WT"
10,97750,"46",1,0.349697,0.794328234724281,"WT"
20,92977,"46",1,0.349697,0.794328234724281,"WT"
30,167313,"46",1,0.349697,0.794328234724281,"WT"
40,149369,"46",1,0.349697,0.794328234724281,"WT"
50,259105,"46",1,0.349697,0.794328234724281,"WT"
