"param.index","mutant.effect","drug.outsideConcentration.MULT","rate","t.end","cell.type"
"1",200,1.73780082874938,0.00421982874132273,"30","REG-ON"
"1",200,1.73780082874938,0.00392424126360401,"40","REG-ON"
"1",200,1.73780082874938,0.00522451970087172,"50","REG-ON"
"1",200,1.73780082874938,0.00484133298904655,"60","REG-ON"
"1",200,1.73780082874938,0.00444127351767971,"70","REG-ON"
"1",200,1.73780082874938,0.00435129615301593,"80","REG-ON"
"1",200,1.73780082874938,0.00383641113474968,"90","REG-ON"
"1",200,1.73780082874938,0.00386040309472935,"100","REG-ON"
"1",200,1.73780082874938,0.00355105808312199,"110","REG-ON"
"1",200,1.73780082874938,0.00348768067929129,"120","REG-ON"
"1",200,1.73780082874938,0.00330790309962875,"130","REG-ON"
"1",200,1.73780082874938,0.00309503303981418,"140","REG-ON"
"1",200,1.73780082874938,0.00301308945321642,"150","REG-ON"
"1",200,1.73780082874938,0.00281165787121256,"160","REG-ON"
"1",200,1.73780082874938,0.00276890780899408,"170","REG-ON"
"1",200,1.73780082874938,0.00263284581253689,"180","REG-ON"
"1",200,1.73780082874938,0.00255864332746755,"190","REG-ON"
"1",200,1.73780082874938,0.00247756938426582,"200","REG-ON"
"1",200,1.73780082874938,0.00236807283198087,"210","REG-ON"
"1",200,1.73780082874938,0.00232515477898691,"220","REG-ON"
"1",200,1.73780082874938,0.00222663216077215,"230","REG-ON"
"1",200,1.73780082874938,0.00219196982191855,"240","REG-ON"
"1",200,1.73780082874938,0.00212322122106524,"250","REG-ON"
"1",200,1.73780082874938,0.00207114261113124,"260","REG-ON"
"1",200,1.73780082874938,0.00202874369166053,"270","REG-ON"
"1",200,1.73780082874938,0.00196464409035343,"280","REG-ON"
"1",200,1.73780082874938,0.00193696265878881,"290","REG-ON"
"1",200,1.73780082874938,0.00187958481852677,"300","REG-ON"
"2",200,1.81970085860998,0.00399269986953625,"30","REG-ON"
"2",200,1.81970085860998,0.00361282717384517,"40","REG-ON"
"2",200,1.81970085860998,0.00484730359641931,"50","REG-ON"
"2",200,1.81970085860998,0.00441459692534444,"60","REG-ON"
"2",200,1.81970085860998,0.00397637659674018,"70","REG-ON"
"2",200,1.81970085860998,0.0038469526823386,"80","REG-ON"
"2",200,1.81970085860998,0.00329925987065179,"90","REG-ON"
"2",200,1.81970085860998,0.00329240108232365,"100","REG-ON"
"2",200,1.81970085860998,0.00295695252882027,"110","REG-ON"
"2",200,1.81970085860998,0.00287063633180287,"120","REG-ON"
"2",200,1.81970085860998,0.00267452282321833,"130","REG-ON"
"2",200,1.81970085860998,0.00244689784576357,"140","REG-ON"
"2",200,1.81970085860998,0.00235267384463591,"150","REG-ON"
"2",200,1.81970085860998,0.00214067132754155,"160","REG-ON"
"2",200,1.81970085860998,0.00208733490286015,"170","REG-ON"
"2",200,1.81970085860998,0.0019415501425264,"180","REG-ON"
"2",200,1.81970085860998,0.00185920473959206,"190","REG-ON"
"2",200,1.81970085860998,0.00177067545325818,"200","REG-ON"
"2",200,1.81970085860998,0.00165451473375345,"210","REG-ON"
"2",200,1.81970085860998,0.00160480213008506,"220","REG-ON"
"2",200,1.81970085860998,0.00150046469461864,"230","REG-ON"
"2",200,1.81970085860998,0.00146019790978122,"240","REG-ON"
"2",200,1.81970085860998,0.00138637311693645,"250","REG-ON"
"2",200,1.81970085860998,0.00132952630235135,"260","REG-ON"
"2",200,1.81970085860998,0.00128268884385657,"270","REG-ON"
"2",200,1.81970085860998,0.00121492369602997,"280","REG-ON"
"2",200,1.81970085860998,0.00118362927895727,"290","REG-ON"
"2",200,1.81970085860998,0.00112295533721122,"300","REG-ON"
"3",200,1.90546071796325,0.00380493221486974,"30","REG-ON"
"3",200,1.90546071796325,0.00336637354170829,"40","REG-ON"
"3",200,1.90546071796325,0.00453475490765929,"50","REG-ON"
"3",200,1.90546071796325,0.00404484386589204,"60","REG-ON"
"3",200,1.90546071796325,0.00354803082427628,"70","REG-ON"
"3",200,1.90546071796325,0.00337516747935195,"80","REG-ON"
"3",200,1.90546071796325,0.00279210040388822,"90","REG-ON"
"3",200,1.90546071796325,0.00275612718755837,"100","REG-ON"
"3",200,1.90546071796325,0.00239557349150398,"110","REG-ON"
"3",200,1.90546071796325,0.00228468808018926,"120","REG-ON"
"3",200,1.90546071796325,0.00206626792644365,"130","REG-ON"
"3",200,1.90546071796325,0.00181799755698367,"140","REG-ON"
"3",200,1.90546071796325,0.00170244084575108,"150","REG-ON"
"3",200,1.90546071796325,0.00147145305234218,"160","REG-ON"
"3",200,1.90546071796325,0.00140241009310416,"170","REG-ON"
"3",200,1.90546071796325,0.00124309223039918,"180","REG-ON"
"3",200,1.90546071796325,0.00114706070506371,"190","REG-ON"
"3",200,1.90546071796325,0.00104701525350942,"200","REG-ON"
"3",200,1.90546071796325,0.000918724146915665,"210","REG-ON"
"3",200,1.90546071796325,0.000858822541559451,"220","REG-ON"
"3",200,1.90546071796325,0.000745497339906736,"230","REG-ON"
"3",200,1.90546071796325,0.000696333806028276,"240","REG-ON"
"3",200,1.90546071796325,0.000613827384921758,"250","REG-ON"
"3",200,1.90546071796325,0.000548676207031233,"260","REG-ON"
"3",200,1.90546071796325,0.000494870464072807,"270","REG-ON"
"3",200,1.90546071796325,0.000419605449145471,"280","REG-ON"
"3",200,1.90546071796325,0.000382047312692939,"290","REG-ON"
"3",200,1.90546071796325,0.000315381116812832,"300","REG-ON"
"4",200,1.99526231496888,0.00361869967813618,"30","REG-ON"
"4",200,1.99526231496888,0.00307901930773506,"40","REG-ON"
"4",200,1.99526231496888,0.00415493057220994,"50","REG-ON"
"4",200,1.99526231496888,0.00359492581541461,"60","REG-ON"
"4",200,1.99526231496888,0.00303486951106342,"70","REG-ON"
"4",200,1.99526231496888,0.00280986987008939,"80","REG-ON"
"4",200,1.99526231496888,0.00217811443871245,"90","REG-ON"
"4",200,1.99526231496888,0.00209882177491168,"100","REG-ON"
"4",200,1.99526231496888,0.00170673661908356,"110","REG-ON"
"4",200,1.99526231496888,0.00156498728224462,"120","REG-ON"
"4",200,1.99526231496888,0.00132354806628775,"130","REG-ON"
"4",200,1.99526231496888,0.00105433432392584,"140","REG-ON"
"4",200,1.99526231496888,0.000924784952855758,"150","REG-ON"
"4",200,1.99526231496888,0.000682435752918662,"160","REG-ON"
"4",200,1.99526231496888,0.00060283510800276,"170","REG-ON"
"4",200,1.99526231496888,0.00043562345364567,"180","REG-ON"
"4",200,1.99526231496888,0.000329367437582806,"190","REG-ON"
"4",200,1.99526231496888,0.000220282559339995,"200","REG-ON"
"4",200,1.99526231496888,8.35830485367619e-05,"210","REG-ON"
