"sim.label","sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT"
7,300,686,1,200,1
8,0,1000,1,200,1
8,10,995,1,200,1
8,20,951,1,200,1
8,30,1721,1,200,1
8,40,1487,1,200,1
8,50,2326,1,200,1
8,60,1879,1,200,1
8,70,1864,1,200,1
8,80,2171,1,200,1
8,90,1657,1,200,1
8,100,2355,1,200,1
8,110,1784,1,200,1
8,120,2178,1,200,1
8,130,1854,1,200,1
8,140,1658,1,200,1
8,150,1943,1,200,1
8,160,1452,1,200,1
8,170,1907,1,200,1
8,180,1506,1,200,1
8,190,1579,1,200,1
8,200,1502,1,200,1
8,210,1281,1,200,1
8,220,1464,1,200,1
8,230,1132,1,200,1
8,240,1379,1,200,1
8,250,1107,1,200,1
8,260,1107,1,200,1
8,270,1091,1,200,1
8,280,905,1,200,1
8,290,1054,1,200,1
8,300,825,1,200,1
9,0,1000,1,200,1
9,10,996,1,200,1
9,20,961,1,200,1
9,30,1727,1,200,1
9,40,1486,1,200,1
9,50,2296,1,200,1
9,60,1869,1,200,1
9,70,1839,1,200,1
9,80,2111,1,200,1
9,90,1670,1,200,1
9,100,2416,1,200,1
9,110,1769,1,200,1
9,120,2172,1,200,1
9,130,1781,1,200,1
9,140,1574,1,200,1
9,150,1841,1,200,1
9,160,1358,1,200,1
9,170,1754,1,200,1
9,180,1312,1,200,1
9,190,1406,1,200,1
9,200,1308,1,200,1
9,210,1075,1,200,1
9,220,1277,1,200,1
9,230,946,1,200,1
9,240,1135,1,200,1
9,250,949,1,200,1
9,260,948,1,200,1
9,270,967,1,200,1
9,280,799,1,200,1
9,290,945,1,200,1
9,300,725,1,200,1
10,0,1000,1,200,1
10,10,995,1,200,1
10,20,946,1,200,1
10,30,1710,1,200,1
10,40,1485,1,200,1
10,50,2308,1,200,1
10,60,1874,1,200,1
10,70,1868,1,200,1
10,80,2144,1,200,1
10,90,1671,1,200,1
10,100,2348,1,200,1
10,110,1699,1,200,1
10,120,2057,1,200,1
10,130,1710,1,200,1
10,140,1544,1,200,1
10,150,1752,1,200,1
10,160,1273,1,200,1
10,170,1624,1,200,1
10,180,1229,1,200,1
10,190,1331,1,200,1
10,200,1232,1,200,1
10,210,1082,1,200,1
10,220,1315,1,200,1
10,230,994,1,200,1
10,240,1187,1,200,1
10,250,973,1,200,1
10,260,935,1,200,1
10,270,944,1,200,1
10,280,743,1,200,1
10,290,892,1,200,1
10,300,681,1,200,1
11,0,1000,1,200,1
11,10,997,1,200,1
11,20,949,1,200,1
11,30,1699,1,200,1
11,40,1435,1,200,1
11,50,2239,1,200,1
11,60,1845,1,200,1
11,70,1871,1,200,1
11,80,2128,1,200,1
11,90,1611,1,200,1
11,100,2291,1,200,1
11,110,1700,1,200,1
11,120,2102,1,200,1
11,130,1775,1,200,1
11,140,1591,1,200,1
11,150,1785,1,200,1
11,160,1345,1,200,1
11,170,1684,1,200,1
11,180,1308,1,200,1
11,190,1436,1,200,1
11,200,1315,1,200,1
11,210,1147,1,200,1
11,220,1355,1,200,1
11,230,1036,1,200,1
11,240,1237,1,200,1
11,250,997,1,200,1
11,260,1077,1,200,1
11,270,1068,1,200,1
11,280,891,1,200,1
11,290,1030,1,200,1
11,300,831,1,200,1
12,0,1000,1,200,1
12,10,994,1,200,1
12,20,952,1,200,1
12,30,1711,1,200,1
12,40,1456,1,200,1
12,50,2305,1,200,1
12,60,1879,1,200,1
12,70,1842,1,200,1
12,80,2169,1,200,1
12,90,1618,1,200,1
12,100,2292,1,200,1
12,110,1692,1,200,1
12,120,2038,1,200,1
12,130,1739,1,200,1
12,140,1553,1,200,1
12,150,1789,1,200,1
12,160,1369,1,200,1
12,170,1762,1,200,1
12,180,1351,1,200,1
12,190,1492,1,200,1
12,200,1354,1,200,1
12,210,1153,1,200,1
12,220,1383,1,200,1
12,230,1054,1,200,1
12,240,1283,1,200,1
12,250,1062,1,200,1
12,260,1095,1,200,1
12,270,1101,1,200,1
12,280,915,1,200,1
12,290,1083,1,200,1
12,300,847,1,200,1
13,0,1000,1,200,1
13,10,991,1,200,1
13,20,960,1,200,1
13,30,1731,1,200,1
13,40,1495,1,200,1
13,50,2314,1,200,1
13,60,1865,1,200,1
13,70,1859,1,200,1
13,80,2171,1,200,1
13,90,1643,1,200,1
13,100,2288,1,200,1
13,110,1686,1,200,1
13,120,2091,1,200,1
13,130,1747,1,200,1
13,140,1598,1,200,1
13,150,1830,1,200,1
13,160,1311,1,200,1
13,170,1737,1,200,1
13,180,1322,1,200,1
13,190,1442,1,200,1
13,200,1368,1,200,1
13,210,1139,1,200,1
13,220,1366,1,200,1
13,230,1065,1,200,1
13,240,1288,1,200,1
13,250,1031,1,200,1
13,260,1058,1,200,1
13,270,1054,1,200,1
13,280,889,1,200,1
13,290,1036,1,200,1
13,300,786,1,200,1
14,0,1000,1,200,1
14,10,995,1,200,1
14,20,950,1,200,1
14,30,1707,1,200,1
14,40,1466,1,200,1
14,50,2294,1,200,1
14,60,1867,1,200,1
14,70,1789,1,200,1
14,80,2112,1,200,1
14,90,1602,1,200,1
14,100,2253,1,200,1
14,110,1652,1,200,1
14,120,1983,1,200,1
14,130,1701,1,200,1
14,140,1498,1,200,1
14,150,1770,1,200,1
14,160,1321,1,200,1
14,170,1707,1,200,1
14,180,1331,1,200,1
14,190,1462,1,200,1
14,200,1344,1,200,1
14,210,1158,1,200,1
14,220,1365,1,200,1
14,230,1036,1,200,1
14,240,1241,1,200,1
14,250,977,1,200,1
14,260,1010,1,200,1
14,270,1014,1,200,1
14,280,819,1,200,1
14,290,984,1,200,1
14,300,772,1,200,1
15,0,1000,1,200,1
15,10,989,1,200,1
15,20,947,1,200,1
15,30,1677,1,200,1
15,40,1460,1,200,1
15,50,2353,1,200,1
15,60,1913,1,200,1
15,70,1892,1,200,1
15,80,2185,1,200,1
15,90,1645,1,200,1
15,100,2334,1,200,1
15,110,1713,1,200,1
15,120,2105,1,200,1
15,130,1740,1,200,1
15,140,1558,1,200,1
15,150,1815,1,200,1
15,160,1351,1,200,1
15,170,1799,1,200,1
15,180,1353,1,200,1
15,190,1495,1,200,1
15,200,1348,1,200,1
15,210,1163,1,200,1
15,220,1313,1,200,1
15,230,986,1,200,1
15,240,1227,1,200,1
15,250,959,1,200,1
15,260,989,1,200,1
15,270,952,1,200,1
15,280,805,1,200,1
15,290,915,1,200,1
15,300,704,1,200,1
16,0,1000,1,200,1
16,10,992,1,200,1
16,20,943,1,200,1
16,30,1704,1,200,1
16,40,1457,1,200,1
16,50,2259,1,200,1
16,60,1832,1,200,1
16,70,1870,1,200,1
16,80,2127,1,200,1
16,90,1613,1,200,1
16,100,2259,1,200,1
16,110,1684,1,200,1
16,120,2083,1,200,1
16,130,1758,1,200,1
16,140,1549,1,200,1
16,150,1829,1,200,1
16,160,1373,1,200,1
16,170,1768,1,200,1
16,180,1338,1,200,1
16,190,1352,1,200,1
16,200,1248,1,200,1
16,210,1038,1,200,1
16,220,1225,1,200,1
16,230,943,1,200,1
16,240,1108,1,200,1
16,250,908,1,200,1
16,260,922,1,200,1
16,270,949,1,200,1
16,280,770,1,200,1
16,290,907,1,200,1
16,300,701,1,200,1
17,0,1000,1,200,1
17,10,997,1,200,1
17,20,945,1,200,1
17,30,1716,1,200,1
17,40,1459,1,200,1
17,50,2283,1,200,1
17,60,1871,1,200,1
17,70,1891,1,200,1
17,80,2141,1,200,1
17,90,1628,1,200,1
17,100,2262,1,200,1
17,110,1665,1,200,1
17,120,2102,1,200,1
17,130,1739,1,200,1
17,140,1542,1,200,1
17,150,1737,1,200,1
17,160,1307,1,200,1
17,170,1622,1,200,1
17,180,1276,1,200,1
17,190,1458,1,200,1
17,200,1329,1,200,1
17,210,1152,1,200,1
17,220,1296,1,200,1
17,230,1008,1,200,1
17,240,1183,1,200,1
17,250,964,1,200,1
17,260,1002,1,200,1
17,270,977,1,200,1
17,280,855,1,200,1
17,290,987,1,200,1
17,300,777,1,200,1
18,0,1000,1,200,1
18,10,990,1,200,1
18,20,951,1,200,1
18,30,1699,1,200,1
18,40,1430,1,200,1
18,50,2242,1,200,1
18,60,1842,1,200,1
18,70,1819,1,200,1
18,80,2142,1,200,1
18,90,1674,1,200,1
18,100,2296,1,200,1
18,110,1721,1,200,1
18,120,2109,1,200,1
18,130,1784,1,200,1
18,140,1575,1,200,1
18,150,1817,1,200,1
18,160,1322,1,200,1
18,170,1765,1,200,1
18,180,1303,1,200,1
18,190,1394,1,200,1
18,200,1301,1,200,1
18,210,1104,1,200,1
18,220,1297,1,200,1
18,230,997,1,200,1
18,240,1250,1,200,1
18,250,998,1,200,1
18,260,1052,1,200,1
18,270,996,1,200,1
18,280,833,1,200,1
18,290,970,1,200,1
18,300,745,1,200,1
19,0,1000,1,200,1
19,10,990,1,200,1
19,20,959,1,200,1
19,30,1721,1,200,1
19,40,1466,1,200,1
19,50,2361,1,200,1
19,60,1947,1,200,1
19,70,1877,1,200,1
19,80,2184,1,200,1
19,90,1632,1,200,1
19,100,2299,1,200,1
19,110,1687,1,200,1
19,120,2141,1,200,1
19,130,1784,1,200,1
19,140,1599,1,200,1
19,150,1886,1,200,1
19,160,1419,1,200,1
19,170,1869,1,200,1
19,180,1449,1,200,1
19,190,1537,1,200,1
19,200,1424,1,200,1
19,210,1224,1,200,1
19,220,1424,1,200,1
19,230,1098,1,200,1
19,240,1365,1,200,1
19,250,1095,1,200,1
19,260,1128,1,200,1
19,270,1067,1,200,1
19,280,859,1,200,1
19,290,1005,1,200,1
19,300,794,1,200,1
20,0,1000,1,200,1
20,10,993,1,200,1
20,20,953,1,200,1
20,30,1718,1,200,1
20,40,1475,1,200,1
20,50,2319,1,200,1
20,60,1881,1,200,1
20,70,1895,1,200,1
20,80,2154,1,200,1
20,90,1622,1,200,1
20,100,2262,1,200,1
20,110,1683,1,200,1
20,120,2134,1,200,1
20,130,1766,1,200,1
20,140,1484,1,200,1
20,150,1731,1,200,1
20,160,1261,1,200,1
20,170,1637,1,200,1
20,180,1233,1,200,1
20,190,1288,1,200,1
20,200,1164,1,200,1
20,210,985,1,200,1
20,220,1198,1,200,1
20,230,890,1,200,1
20,240,1101,1,200,1
20,250,892,1,200,1
20,260,904,1,200,1
20,270,870,1,200,1
20,280,669,1,200,1
20,290,771,1,200,1
20,300,578,1,200,1
21,0,1000,1,200,1
21,10,995,1,200,1
21,20,953,1,200,1
21,30,1721,1,200,1
21,40,1477,1,200,1
21,50,2294,1,200,1
21,60,1880,1,200,1
21,70,1867,1,200,1
21,80,2148,1,200,1
21,90,1624,1,200,1
21,100,2242,1,200,1
21,110,1679,1,200,1
21,120,2039,1,200,1
21,130,1742,1,200,1
21,140,1569,1,200,1
21,150,1785,1,200,1
21,160,1360,1,200,1
21,170,1767,1,200,1
21,180,1344,1,200,1
21,190,1492,1,200,1
21,200,1349,1,200,1
21,210,1190,1,200,1
21,220,1406,1,200,1
21,230,1048,1,200,1
21,240,1302,1,200,1
21,250,1075,1,200,1
21,260,1065,1,200,1
21,270,1063,1,200,1
21,280,904,1,200,1
21,290,992,1,200,1
21,300,784,1,200,1
22,0,1000,1,200,1
22,10,996,1,200,1
22,20,952,1,200,1
22,30,1723,1,200,1
22,40,1499,1,200,1
22,50,2268,1,200,1
22,60,1878,1,200,1
22,70,1811,1,200,1
22,80,2102,1,200,1
22,90,1644,1,200,1
22,100,2335,1,200,1
22,110,1685,1,200,1
22,120,2052,1,200,1
22,130,1744,1,200,1
22,140,1512,1,200,1
22,150,1766,1,200,1
22,160,1308,1,200,1
22,170,1745,1,200,1
22,180,1328,1,200,1
22,190,1387,1,200,1
22,200,1285,1,200,1
22,210,1079,1,200,1
22,220,1283,1,200,1
22,230,950,1,200,1
22,240,1152,1,200,1
22,250,950,1,200,1
22,260,983,1,200,1
22,270,991,1,200,1
22,280,800,1,200,1
22,290,944,1,200,1
22,300,691,1,200,1
23,0,1000,1,200,1
23,10,996,1,200,1
23,20,946,1,200,1
23,30,1701,1,200,1
23,40,1446,1,200,1
23,50,2308,1,200,1
23,60,1869,1,200,1
23,70,1863,1,200,1
23,80,2133,1,200,1
23,90,1607,1,200,1
23,100,2239,1,200,1
23,110,1673,1,200,1
23,120,2067,1,200,1
23,130,1742,1,200,1
23,140,1573,1,200,1
23,150,1796,1,200,1
23,160,1318,1,200,1
23,170,1692,1,200,1
23,180,1251,1,200,1
23,190,1456,1,200,1
23,200,1311,1,200,1
23,210,1147,1,200,1
23,220,1341,1,200,1
23,230,1010,1,200,1
23,240,1242,1,200,1
23,250,985,1,200,1
23,260,1020,1,200,1
23,270,971,1,200,1
23,280,795,1,200,1
23,290,902,1,200,1
23,300,678,1,200,1
24,0,1000,1,200,1
24,10,995,1,200,1
24,20,944,1,200,1
24,30,1709,1,200,1
24,40,1472,1,200,1
24,50,2299,1,200,1
24,60,1876,1,200,1
24,70,1848,1,200,1
24,80,2121,1,200,1
24,90,1656,1,200,1
24,100,2338,1,200,1
24,110,1728,1,200,1
24,120,2112,1,200,1
24,130,1760,1,200,1
24,140,1565,1,200,1
24,150,1787,1,200,1
